Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,season
Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,596,758,78.6,10257,2209,289,332,87,220,271,81.2,66,99,66.7,1,1.1,1.5,-0.1,17,77,26,7,97,19/20
Mesut Özil,de GER,MF,Arsenal,30,1988,16,758,913,83,11455,3088,414,442,93.7,257,295,87.1,54,100,54,2,2.3,2.3,-0.3,37,63,25,0,114,19/20
Emerson Palmieri,it ITA,DF,Chelsea,24,1994,11.4,708,875,80.9,9224,2394,458,508,90.2,163,219,74.4,37,67,55.2,0,1.3,1.1,-1.3,19,31,8,5,37,19/20
Sokratis Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,914,1043,87.6,18075,6123,315,333,94.6,470,511,92,117,173,67.6,0,0.3,0.2,-0.3,2,35,1,0,27,19/20
Troy Parrott,ie IRL,FW,Tottenham,17,2002,0.1,4,4,100,68,12,1,1,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,19/20
Rui Patrício,pt POR,GK,Wolves,31,1988,38,567,864,65.6,20538,16472,41,43,95.3,191,192,99.5,334,623,53.6,0,0,0,0,0,4,0,0,0,19/20
Pedro,es ESP,FWMF,Chelsea,32,1987,7.3,266,337,78.9,3670,833,163,185,88.1,68,89,76.4,16,30,53.3,1,0.9,1.1,0.1,17,16,17,1,41,19/20
Nicolas Pépé,ci CIV,FW,Arsenal,24,1995,22.3,610,824,74,8817,2028,364,415,87.7,171,222,77,45,101,44.6,6,4.8,4,1.2,39,28,30,6,67,19/20
Andreas Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,569,780,72.9,8948,2634,298,347,85.9,202,259,78,47,108,43.5,3,4,2.9,-1,32,61,15,4,89,19/20
Ricardo Pereira,pt POR,DF,Leicester City,25,1993,28,1533,1948,78.7,23216,8673,829,936,88.6,587,733,80.1,79,154,51.3,2,3.8,3,-1.8,27,100,34,7,177,19/20
Roberto Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,540,662,81.6,7482,1632,330,378,87.3,160,186,86,24,51,47.1,0,1.5,2.1,-1.5,20,33,12,4,48,19/20
Ayoze Pérez,es ESP,MFFW,Leicester City,26,1993,22.3,597,770,77.5,7574,1749,394,453,87,140,180,77.8,20,33,60.6,4,4,3.2,0,28,44,28,5,62,19/20
Jordan Pickford,eng ENG,GK,Everton,25,1994,38,905,1383,65.4,28145,21362,185,185,100,359,364,98.6,346,815,42.5,0,0.1,0.1,-0.1,1,42,2,0,0,19/20
Brandon Pierrick,eng ENG,MFFW,Crystal Palace,17,2001,0.2,5,9,55.6,52,9,2,2,100,1,2,50,0,0,,0,0.1,0,-0.1,2,0,1,0,2,19/20
Erik Pieters,nl NED,DFMF,Burnley,30,1988,20.9,699,965,72.4,10684,4167,392,444,88.3,247,340,72.6,42,121,34.7,4,2.5,1.8,1.5,18,35,18,11,50,19/20
Daniel Podence,pt POR,FWMF,Wolves,23,1995,3.2,70,101,69.3,954,172,34,42,81,23,35,65.7,3,8,37.5,0,0.7,0.2,-0.7,5,6,4,1,9,19/20
Paul Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,885,1045,84.7,16108,4680,419,470,89.1,324,359,90.3,117,155,75.5,3,2.5,2.7,0.5,30,115,22,1,111,19/20
Nick Pope,eng ENG,GK,Burnley,27,1992,38,556,1194,46.6,22391,19476,48,48,100,172,176,97.7,336,961,35,0,0.4,0.2,-0.4,3,34,1,0,0,19/20
Dennis Praet,be BEL,MF,Leicester City,25,1994,12.6,448,546,82.1,6705,1665,255,281,90.7,140,175,80,32,46,69.6,2,1.3,0.5,0.7,9,38,7,2,42,19/20
Sebastian Prödl,at AUT,DF,Watford,32,1987,0.6,6,11,54.5,63,34,5,6,83.3,1,3,33.3,0,2,0,0,0,0,0,0,0,0,0,0,19/20
Davy Pröpper,nl NED,MF,Brighton,27,1991,31.4,1511,1833,82.4,26475,8360,643,757,84.9,730,824,88.6,113,169,66.9,2,2.5,2.1,-0.5,29,184,24,5,265,19/20
Teemu Pukki,fi FIN,FW,Norwich City,29,1990,32.1,424,539,78.7,5017,546,278,318,87.4,105,134,78.4,4,10,40,3,3.8,2.8,-0.8,30,11,4,0,22,19/20
Christian Pulisic,us USA,FW,Chelsea,20,1998,19.1,539,706,76.3,7046,1330,333,394,84.5,134,174,77,25,49,51,4,3.6,2.7,0.4,30,25,25,2,73,19/20
Ignacio Pussetto,ar ARG,FWMF,Watford,23,1995,0.8,20,36,55.6,299,116,13,17,76.5,4,8,50,2,8,25,0,0,0.1,0,0,1,1,0,3,19/20
Domingos Quina,pt POR,MFFW,Watford,19,1999,0.2,10,10,100,120,30,7,7,100,2,2,100,0,0,,0,0,0,0,0,0,1,0,1,19/20
Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,675,1136,59.4,20764,15997,124,128,96.9,308,310,99.4,242,689,35.1,1,0.7,0.1,0.3,2,20,1,1,0,19/20
Darren Randolph,ie IRL,GK,West Ham,32,1987,2,22,41,53.7,968,911,2,2,100,4,4,100,16,34,47.1,0,0,0,0,0,1,0,0,0,19/20
Marcus Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,745,989,75.3,10954,2747,421,527,79.9,228,276,82.6,49,88,55.7,7,5,4.5,2,33,48,61,3,124,19/20
Nathan Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,763,1072,71.2,11856,2570,414,499,83,257,346,74.3,56,128,43.8,4,3.3,2.7,0.7,36,56,38,7,104,19/20
Pepe Reina,es ESP,GK,Aston Villa,36,1982,12,281,399,70.4,9063,7064,36,36,100,112,115,97.4,132,244,54.1,0,0,0,0,1,4,0,0,0,19/20
Declan Rice,eng ENG,MF,West Ham,20,1999,38,1506,1768,85.2,28014,7897,654,723,90.5,618,692,89.3,199,274,72.6,3,1.4,1.4,1.6,21,185,21,8,180,19/20
Richarlison,br BRA,FWMF,Everton,22,1997,34.1,533,853,62.5,7523,1907,285,388,73.5,172,250,68.8,24,56,42.9,3,6.7,3.7,-3.7,34,31,30,3,93,19/20
Diego Rico,es ESP,DF,Bournemouth,26,1993,25.9,993,1516,65.5,16826,9108,496,583,85.1,370,555,66.7,104,266,39.1,4,3.2,3.3,0.8,33,96,28,14,145,19/20
Jaïro Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,293,399,73.4,4299,1970,176,216,81.5,85,116,73.3,17,42,40.5,0,0.2,0.4,-0.2,2,36,5,1,31,19/20
Matt Ritchie,sct SCO,DFMF,Newcastle Utd,29,1989,14.6,480,701,68.5,7937,3062,244,273,89.4,150,214,70.1,55,149,36.9,1,2.3,1.7,-1.3,32,36,15,7,52,19/20
Roberto,es ESP,GK,West Ham,33,1986,7.6,112,230,48.7,4057,3573,17,17,100,40,40,100,55,172,32,0,0,0,0,0,3,0,0,0,19/20
Patrick Roberts,eng ENG,FWMF,Norwich City,22,1997,0.3,6,9,66.7,100,29,4,5,80,1,1,100,1,3,33.3,0,0,0,0,0,0,0,0,2,19/20
Andrew Robertson,sct SCO,DF,Liverpool,25,1994,34.6,2391,2996,79.8,37653,11408,1298,1441,90.1,874,1072,81.5,153,313,48.9,12,7.5,5.9,4.5,60,166,56,23,219,19/20
Callum Robinson,ie IRL,FWMF,Sheffield Utd,24,1995,7.5,120,154,77.9,1730,243,71,78,91,37,46,80.4,7,16,43.8,1,0.4,0.6,0.6,4,7,3,1,10,19/20
Jack Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,203,274,74.1,3824,1621,75,82,91.5,102,127,80.3,19,50,38,0,0.2,0.1,-0.2,2,21,1,1,17,19/20
Rodri,es ESP,MF,Manchester City,23,1996,27.6,2400,2590,92.7,42557,10967,1051,1097,95.8,1032,1086,95,263,312,84.3,2,2.6,2.1,-0.6,34,223,19,2,232,19/20
Jay Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,326,483,67.5,3738,822,228,297,76.8,51,94,54.3,11,23,47.8,1,0.6,0.5,0.4,6,26,7,0,33,19/20
Jack Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,2,2,100,35,5,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,19/20
Marcos Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,40,60,66.7,693,320,16,18,88.9,21,29,72.4,2,10,20,0,0,0,0,0,2,0,0,6,19/20
Oriol Romeu,es ESP,MF,Southampton,27,1991,20.7,871,1083,80.4,14768,4205,388,449,86.4,394,471,83.7,64,105,61,0,1.6,1,-1.6,19,88,17,3,110,19/20
Danny Rose,eng ENG,DF,Tottenham,29,1990,9.9,437,580,75.3,6735,2765,256,290,88.3,157,212,74.1,19,50,38,0,0.6,0.5,-0.6,11,37,12,4,65,19/20
Danny Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,322,422,76.3,4481,1677,188,205,91.7,105,140,75,11,40,27.5,0,0.2,0.3,-0.2,3,16,3,2,32,19/20
Antonio Rüdiger,de GER,DF,Chelsea,26,1993,19,1301,1511,86.1,26935,8793,353,387,91.2,776,834,93,159,255,62.4,0,0.6,0.5,-0.6,5,112,6,1,99,19/20
Lukas Rupp,de GER,FWMF,Norwich City,28,1991,7.7,205,272,75.4,2596,643,132,154,85.7,49,68,72.1,8,17,47.1,0,0.9,0.5,-0.9,8,11,3,0,18,19/20
Mathew Ryan,au AUS,GK,Brighton,27,1992,38,1217,1482,82.1,31353,21007,263,265,99.2,597,607,98.4,350,592,59.1,0,0,0,0,0,10,1,0,0,19/20
Allan Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,353,485,72.8,5433,1190,209,246,85,87,123,70.7,34,56,60.7,4,3.3,3.1,0.7,33,22,14,3,49,19/20
Romain Saïss,ma MAR,DF,Wolves,29,1990,30.1,1285,1649,77.9,25611,9820,439,505,86.9,655,774,84.6,171,313,54.6,1,1.3,0.4,-0.3,12,113,6,1,132,19/20
Bukayo Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,646,845,76.4,9418,2699,375,425,88.2,227,293,77.5,22,52,42.3,5,3.3,2,1.7,21,37,19,5,67,19/20
Mamadou Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,472,539,87.6,8874,3833,176,192,91.7,241,268,89.9,47,63,74.6,0,0.1,0.1,-0.1,1,28,1,0,26,19/20
Mohamed Salah,eg EGY,FW,Liverpool,27,1992,32,767,1035,74.1,9757,2321,463,563,82.2,211,273,77.3,26,57,45.6,10,7.8,6.9,2.2,60,41,57,3,91,19/20
Mbwana Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,119,176,67.6,1547,235,76,99,76.8,27,50,54,9,10,90,0,0.6,0.2,-0.6,10,8,2,0,11,19/20
Carlos Sánchez,co COL,MF,West Ham,33,1986,1.3,48,59,81.4,790,253,22,24,91.7,21,27,77.8,4,7,57.1,0,0,0,0,0,3,0,0,5,19/20
Davinson Sánchez,co COL,DF,Tottenham,23,1996,27,1340,1564,85.7,24736,8130,476,522,91.2,735,804,91.4,107,189,56.6,0,0,0.1,0,1,44,0,0,53,19/20
Leroy Sané,de GER,FW,Manchester City,23,1996,0.1,6,7,85.7,92,21,3,4,75,3,3,100,0,0,,0,0,0,0,0,0,0,0,1,19/20
Ismaila Sarr,sn SEN,FWMF,Watford,21,1998,22.5,420,594,70.7,5557,1437,264,314,84.1,100,168,59.5,21,41,51.2,4,4.5,3.2,-0.5,25,17,32,14,41,19/20
Fabian Schär,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,590,804,73.4,12400,5435,226,261,86.6,228,275,82.9,120,228,52.6,0,0.1,0.2,-0.1,4,59,3,0,53,19/20
Ezequiel Schelotto,it ITA,DF,Brighton,30,1989,4,121,175,69.1,1849,636,67,82,81.7,48,66,72.7,5,17,29.4,0,0,0.1,0,0,6,3,0,9,19/20
Jeffrey Schlupp,gh GHA,FWMF,Crystal Palace,26,1992,11.5,251,344,73,3793,1131,140,163,85.9,90,120,75,11,34,32.4,1,0.8,0.4,0.2,7,37,3,0,42,19/20
Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,38,934,1198,78,25910,17114,134,136,98.5,475,481,98.8,324,572,56.6,0,0.5,0,-0.5,3,5,0,0,1,19/20
Morgan Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,484,570,84.9,8917,2675,202,226,89.4,189,213,88.7,69,93,74.2,0,0.1,0.2,-0.1,4,45,6,1,62,19/20
Ryan Sessegnon,eng ENG,DFFW,Tottenham,19,2000,3.8,145,196,74,1931,755,92,105,87.6,40,55,72.7,6,17,35.3,0,0.1,0.1,-0.1,2,12,2,1,17,19/20
Xherdan Shaqiri,ch SUI,FWMF,Liverpool,27,1991,2.1,89,110,80.9,1423,465,52,57,91.2,23,27,85.2,10,15,66.7,0,0.2,0.3,-0.2,3,10,6,1,18,19/20
Billy Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,158,224,70.5,2078,383,101,125,80.8,50,68,73.5,3,6,50,2,2.3,1.1,-0.3,14,3,9,1,22,19/20
Luke Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,1125,1317,85.4,15075,5222,716,783,91.4,348,406,85.7,26,63,41.3,0,1.4,1.7,-1.4,20,73,25,5,122,19/20
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,827,1149,72,17762,6086,308,357,86.3,325,402,80.8,178,335,53.1,2,3.6,2.6,-1.6,45,123,20,6,124,19/20
Djibril Sidibé,fr FRA,DFMF,Everton,27,1992,20.3,924,1205,76.7,15657,5646,442,515,85.8,381,485,78.6,81,133,60.9,4,2.3,2,1.7,19,56,20,13,86,19/20
Gylfi Sigurðsson,is ISL,MF,Everton,29,1989,28.4,890,1156,77,15044,4641,411,478,86,329,394,83.5,101,185,54.6,3,4.2,3.7,-1.2,51,91,25,4,127,19/20
Bernardo Silva,pt POR,FWMF,Manchester City,24,1994,22.6,1284,1474,87.1,18560,3600,757,815,92.9,397,454,87.4,72,94,76.6,7,5,6.1,2,51,60,39,10,122,19/20
David Silva,es ESP,MF,Manchester City,33,1986,20.3,1332,1527,87.2,18239,3835,789,859,91.9,425,478,88.9,43,57,75.4,10,6.5,5.5,3.5,48,89,51,1,203,19/20
Jack Simpson,eng ENG,DF,Bournemouth,22,1996,2.7,75,107,70.1,1186,448,40,49,81.6,30,39,76.9,4,13,30.8,0,0.1,0,-0.1,1,5,0,0,5,19/20
Moussa Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,1135,1322,85.9,17058,3674,619,696,88.9,398,447,89,63,88,71.6,1,1.1,1.4,-0.1,16,80,9,1,96,19/20
Oliver Skipp,eng ENG,MF,Tottenham,18,2000,0.9,34,38,89.5,543,153,17,19,89.5,14,15,93.3,3,4,75,0,0,0,0,0,3,0,0,5,19/20
William Smallbone,ie IRL,MF,Southampton,19,2000,4.4,175,213,82.2,2879,645,86,102,84.3,64,74,86.5,17,24,70.8,2,0.2,0.2,1.8,3,21,3,1,12,19/20
Adam Smith,eng ENG,DF,Bournemouth,28,1991,22.8,827,1044,79.2,11632,4435,522,574,90.9,247,310,79.7,36,93,38.7,1,1.1,0.6,-0.1,10,60,7,3,93,19/20
Emile Smith Rowe,eng ENG,MF,Arsenal,19,2000,1.1,30,36,83.3,327,57,20,22,90.9,6,8,75,0,1,0,0,0,0,0,0,2,0,0,2,19/20
Robert Snodgrass,sct SCO,MFFW,West Ham,31,1987,16.8,433,646,67,7212,2456,239,288,83,136,192,70.8,52,120,43.3,5,3.2,3.7,1.8,33,30,9,2,57,19/20
Cédric Soares,pt POR,MFDF,Arsenal,27,1991,2.8,96,135,71.1,1469,437,61,71,85.9,23,40,57.5,8,15,53.3,0,0,0.1,0,1,6,2,0,11,19/20
Cédric Soares,pt POR,DF,Southampton,27,1991,14.5,513,737,69.6,7830,3538,300,344,87.2,167,242,69,34,110,30.9,1,0.7,1.2,0.3,11,31,18,13,47,19/20
Dominic Solanke,eng ENG,FW,Bournemouth,21,1997,18.3,301,439,68.6,3698,828,202,256,78.9,60,92,65.2,13,21,61.9,1,1.2,0.9,-0.2,15,26,7,1,35,19/20
Tomáš Souček,cz CZE,MF,West Ham,24,1995,11.6,277,399,69.4,4561,1331,131,179,73.2,110,149,73.8,26,45,57.8,0,0.3,0.3,-0.3,5,34,3,0,40,19/20
Çağlar Söyüncü,tr TUR,DF,Leicester City,23,1996,33.7,2086,2342,89.1,38202,13194,798,856,93.2,1094,1188,92.1,169,235,71.9,1,0.8,0.3,0.2,4,112,3,0,125,19/20
Dennis Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,13,18,72.2,134,12,12,16,75,1,1,100,0,0,,0,0,0,0,0,1,0,0,1,19/20
Jack Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,562,785,71.6,8009,3482,362,408,88.7,161,238,67.6,27,77,35.1,2,2.2,1.7,-0.2,10,50,6,1,50,19/20
Junior Stanislas,eng ENG,MFFW,Bournemouth,29,1989,7.9,214,306,69.9,3087,1102,122,144,84.7,60,91,65.9,16,39,41,0,0.8,1.1,-0.8,12,15,7,2,26,19/20
Jed Steer,eng ENG,GK,Aston Villa,26,1992,0.1,1,2,50,26,12,0,0,,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,19/20
Dale Stephens,eng ENG,MF,Brighton,30,1989,28.1,1440,1687,85.4,27512,7212,530,595,89.1,720,793,90.8,170,240,70.8,1,1.3,1.7,-0.3,20,140,19,0,160,19/20
Jack Stephens,eng ENG,DF,Southampton,25,1994,27.2,933,1299,71.8,19509,7922,268,331,81,539,653,82.5,119,271,43.9,3,1.4,1,1.6,8,80,12,0,81,19/20
Raheem Sterling,eng ENG,FW,Manchester City,24,1994,29.5,984,1231,79.9,11590,2334,685,760,90.1,208,278,74.8,18,34,52.9,1,6.2,6.2,-5.2,48,29,49,4,100,19/20
Enda Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,1383,1902,72.7,21879,8369,785,905,86.7,465,626,74.3,107,246,43.5,4,5.3,4.2,-1.3,34,110,46,12,174,19/20
Marco Stiepermann,de GER,MF,Norwich City,28,1991,13.1,290,413,70.2,3532,1115,185,233,79.4,62,87,71.3,13,27,48.1,0,0.8,0.9,-0.8,12,34,8,0,46,19/20
John Stones,eng ENG,DF,Manchester City,25,1994,12.5,977,1039,94,18402,6085,346,360,96.1,518,543,95.4,96,104,92.3,0,0.1,0.2,-0.1,2,75,0,0,83,19/20
Isaac Success,ng NGA,FWMF,Watford,23,1996,0.8,14,20,70,149,26,7,11,63.6,4,6,66.7,0,0,,0,0.1,0,-0.1,1,0,2,0,2,19/20
Ki Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,63,71,88.7,1166,277,30,33,90.9,21,21,100,10,13,76.9,0,0.1,0.1,-0.1,2,4,0,0,6,19/20
Andrew Surman,eng ENG,MF,Bournemouth,32,1986,2.6,105,130,80.8,1812,472,49,60,81.7,40,48,83.3,11,16,68.8,0,0,0.1,0,1,6,1,0,5,19/20
Sam Surridge,eng ENG,FWMF,Bournemouth,21,1998,0.3,5,11,45.5,72,21,2,6,33.3,3,4,75,0,0,,0,0.1,0,-0.1,1,1,1,0,2,19/20
Japhet Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,190,236,80.5,2682,911,112,123,91.1,62,78,79.5,6,15,40,0,0.1,0,-0.1,1,8,0,0,14,19/20
Matt Targett,eng ENG,DFMF,Aston Villa,23,1995,25.5,883,1229,71.8,14497,6305,485,543,89.3,305,421,72.4,75,193,38.9,2,2.6,2.8,-0.6,26,76,27,11,115,19/20
James Tarkowski,eng ENG,DF,Burnley,26,1992,38,960,1365,70.3,19438,8051,315,396,79.5,488,615,79.3,141,291,48.5,2,3.1,2.2,-1.1,15,69,9,0,83,19/20
Charlie Taylor,eng ENG,DF,Burnley,25,1993,21.6,747,1075,69.5,12302,5230,388,445,87.2,289,380,76.1,60,188,31.9,1,0.9,1,0.1,12,43,21,17,54,19/20
Neil Taylor,wls WAL,DF,Aston Villa,30,1989,12.1,410,522,78.5,5944,2497,230,249,92.4,153,193,79.3,13,39,33.3,0,0.4,0.2,-0.4,5,22,4,1,48,19/20
Nathan Tella,eng ENG,FW,Southampton,20,1999,0,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,19/20
Alexander Tettey,no NOR,MFDF,Norwich City,33,1986,26,1142,1299,87.9,17374,4412,603,658,91.6,439,476,92.2,58,94,61.7,1,0.5,0.6,0.5,5,63,4,1,54,19/20
Jordan Thomas,eng ENG,FW,Norwich City,18,2001,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,19/20
Luke Thomas,eng ENG,MFDF,Leicester City,18,2001,3,154,196,78.6,2412,729,86,99,86.9,52,69,75.4,14,20,70,1,0.6,0.6,0.4,10,10,9,8,13,19/20
Max Thompson,eng ENG,FW,Burnley,17,2002,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,19/20
Youri Tielemans,be BEL,MF,Leicester City,22,1997,31.4,1504,1885,79.8,25455,6845,705,804,87.7,569,679,83.8,155,258,60.1,6,4.5,3.8,1.5,52,170,40,6,215,19/20
Kieran Tierney,sct SCO,DFMF,Arsenal,22,1997,11,426,571,74.6,7168,2283,210,237,88.6,178,236,75.4,34,66,51.5,1,1,0.5,0,6,21,10,7,34,19/20
James Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,535,676,79.1,11121,3879,151,177,85.3,301,341,88.3,78,145,53.8,1,0.1,0.1,0.9,2,23,1,0,14,19/20
Fikayo Tomori,eng ENG,DF,Chelsea,21,1997,14.3,1019,1167,87.3,18441,6115,362,395,91.6,575,617,93.2,66,119,55.5,0,0.1,0.3,-0.1,4,49,3,1,50,19/20
Lucas Torreira,uy URU,MF,Arsenal,23,1996,16.8,798,919,86.8,14097,3578,314,348,90.2,400,439,91.1,59,82,72,1,0.8,1,0.2,15,52,5,0,83,19/20
Cenk Tosun,tr TUR,FW,Crystal Palace,28,1991,2,28,44,63.6,395,135,15,21,71.4,8,13,61.5,3,4,75,0,0.6,0.2,-0.6,1,2,3,0,7,19/20
Cenk Tosun,tr TUR,FW,Everton,28,1991,3.2,39,60,65,508,111,24,30,80,8,13,61.5,3,7,42.9,0,0.2,0.1,-0.2,4,3,3,0,6,19/20
Andros Townsend,eng ENG,FWMF,Crystal Palace,28,1991,14.4,328,473,69.3,4834,1596,193,217,88.9,99,137,72.3,19,70,27.1,1,1.9,2,-0.9,13,23,24,12,44,19/20
Adama Traoré,es ESP,FWDF,Wolves,23,1996,28.9,614,952,64.5,9406,2530,335,425,78.8,202,311,65,41,97,42.3,9,6.6,6.5,2.4,48,55,41,28,88,19/20
Mark Travers,ie IRL,GK,Bournemouth,20,1999,1,20,30,66.7,449,301,7,7,100,9,10,90,4,13,30.8,0,0,0,0,0,0,0,0,0,19/20
Trézéguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,291,441,66,4192,1096,174,210,82.9,80,137,58.4,21,46,45.7,1,1,1.2,0,21,19,13,7,37,19/20
Leandro Trossard,be BEL,FWMF,Brighton,24,1994,22.3,562,802,70.1,9853,2867,265,337,78.6,214,290,73.8,65,105,61.9,3,3.9,3,-0.9,42,51,30,4,95,19/20
Tom Trybull,de GER,MF,Norwich City,26,1993,12.6,566,615,92,8879,2697,313,329,95.1,196,213,92,42,46,91.3,0,0.1,0.1,-0.1,3,34,0,0,33,19/20
Axel Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,132,149,88.6,2097,517,72,79,91.1,44,47,93.6,12,16,75,0,0,0,0,0,6,0,0,8,19/20
Yan Valery,tn TUN,DF,Southampton,20,1999,8.7,191,320,59.7,2961,1141,107,135,79.3,71,117,60.7,10,47,21.3,0,1,0.8,-1,2,9,2,1,14,19/20
Jesús Vallejo,es ESP,DF,Wolves,22,1997,1.8,92,119,77.3,1813,669,33,36,91.7,41,47,87.2,15,31,48.4,0,0,0,0,0,7,1,1,6,19/20
Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38,2919,3276,89.1,58361,19539,914,988,92.5,1638,1740,94.1,331,487,68,1,1.3,1.5,-0.3,7,182,9,0,170,19/20
Jamie Vardy,eng ENG,FW,Leicester City,32,1987,33.7,323,478,67.6,4236,742,198,255,77.6,83,123,67.5,14,29,48.3,5,5.9,3.8,-0.9,31,12,24,4,44,19/20
Indiana Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,8,12,66.7,89,4,5,5,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,19/20
Jan Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,958,1187,80.7,17105,5808,395,439,90,485,559,86.8,64,140,45.7,1,0.9,0.3,0.1,3,45,0,0,58,19/20
Jannik Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,645,854,75.5,11924,4460,241,289,83.4,350,433,80.8,49,117,41.9,0,0.5,0.2,-0.5,6,54,5,1,55,19/20
Rúben Vinagre,pt POR,MFDF,Wolves,20,1999,7.2,255,342,74.6,3595,1129,168,191,88,72,98,73.5,11,26,42.3,0,0.6,0.6,-0.6,4,11,8,8,8,19/20
Jake Vokins,eng ENG,DF,Southampton,19,2000,1,57,71,80.3,922,312,26,27,96.3,23,29,79.3,5,9,55.6,0,0.1,0.1,-0.1,1,6,2,0,3,19/20
Mario Vrančić,ba BIH,MF,Norwich City,30,1989,7.1,356,463,76.9,5530,1826,188,212,88.7,125,157,79.6,23,59,39,0,0.9,1.2,-0.9,7,44,7,0,62,19/20
Matěj Vydra,cz CZE,FW,Burnley,27,1992,9.1,102,140,72.9,927,135,68,84,81,11,22,50,0,1,0,1,1,0.6,0,8,2,0,0,4,19/20
Theo Walcott,eng ENG,MFFW,Everton,30,1989,14.3,263,407,64.6,3637,1056,159,206,77.2,77,116,66.4,12,33,36.4,3,3.7,3,-0.7,19,20,17,6,34,19/20
Kyle Walker,eng ENG,DF,Manchester City,29,1990,26.6,1901,2187,86.9,33234,7080,879,938,93.7,771,868,88.8,199,262,76,4,1.5,2.9,2.5,18,203,24,8,194,19/20
Kyle Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,339,450,75.3,5141,1478,192,222,86.5,120,158,75.9,18,42,42.9,0,0.6,0.3,-0.6,4,21,9,0,18,19/20
Kyle Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,182,215,84.7,2550,626,122,126,96.8,49,61,80.3,7,17,41.2,0,0.1,0.1,-0.1,2,7,2,0,15,19/20
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,1673,2128,78.6,22117,8018,1083,1214,89.2,473,620,76.3,43,107,40.2,4,3,3.1,1,25,102,21,9,134,19/20
Victor Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,18,20,90,346,130,4,6,66.7,12,12,100,1,1,100,0,0,0,0,0,1,0,0,5,19/20
Joel Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,912,1270,71.8,13773,6373,511,585,87.4,301,422,71.3,66,163,40.5,0,0.3,0.6,-0.3,5,73,13,4,115,19/20
James Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38,1444,1988,72.6,24974,7797,652,756,86.2,607,757,80.2,141,373,37.8,3,6.8,5.9,-3.8,62,144,33,8,170,19/20
Kelland Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,1,3,33.3,14,0,1,1,100,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,19/20
