Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,season
Ezgjan Alioski,mk MKD,DFMF,Leeds United,28,1992,27.3,1951,75,560,902,503,41,1951,26,11,42.3,15,57.7,1007,5508,3290,77,43,5,37,15,1197,122,20/21
Alisson,br BRA,GK,Liverpool,27,1992,33,1239,931,1224,16,1,1,1239,2,2,100,0,0,709,2807,1763,0,0,0,0,0,669,0,20/21
Allan,br BRA,MF,Everton,29,1991,22.8,1310,68,382,816,136,3,1310,49,31,63.3,18,36.7,721,4220,2314,30,31,2,21,18,831,8,20/21
Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,444,7,64,241,146,23,444,25,11,44,14,56,276,1588,641,15,18,5,13,16,303,30,20/21
Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27,1179,33,230,557,421,40,1179,73,39,53.4,34,46.6,773,5516,2516,70,48,14,48,34,792,109,20/21
Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,729,32,199,300,238,38,729,17,9,52.9,8,47.1,362,1815,1095,24,18,4,13,9,450,74,20/21
Steven Alzate,co COL,MF,Brighton,21,1998,10,536,17,105,308,128,12,536,16,8,50,8,50,323,1638,807,16,8,1,13,9,393,16,20/21
Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8,572,61,286,256,33,6,572,3,1,33.3,2,66.7,301,1291,682,4,4,0,5,3,344,0,20/21
Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,1374,138,516,670,202,6,1374,15,13,86.7,2,13.3,678,4063,2384,25,28,0,16,5,765,23,20/21
Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,2275,309,1259,944,90,25,2275,11,9,81.8,2,18.2,1304,7345,4043,20,13,1,10,3,1456,7,20/21
Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0,2,0,0,1,1,1,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1,20/21
