Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,season
Ramiro Funes Mori,ar ARG,DF,Everton,25,1991,23,16,1543,17.1,0,1,1,0,0,0,0,0,,,,,,,,0,0.06,0.06,0,0.06,,,,,,16/17
Manolo Gabbiadini,it ITA,FW,Southampton,24,1991,11,10,724,8,4,0,4,4,0,1,1,0,,,,,,,,0.5,0,0.5,0.5,0.5,,,,,,16/17
Brendan Galloway,zw ZIM,DF,West Brom,20,1996,3,3,247,2.7,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Idrissa Gana Gueye,sn SEN,MF,Everton,26,1989,33,32,2681,29.8,1,1,2,1,0,0,11,0,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,16/17
Aleix García,es ESP,MF,Manchester City,19,1997,4,1,77,0.9,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Craig Gardner,eng ENG,MF,West Brom,29,1986,9,2,218,2.4,0,1,1,0,0,0,1,0,,,,,,,,0,0.41,0.41,0,0.41,,,,,,16/17
David de Gea,es ESP,GK,Manchester Utd,25,1990,35,35,3150,35,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Rudy Gestede,bj BEN,FW,Middlesbrough,27,1988,16,4,533,5.9,1,0,1,1,0,0,3,0,,,,,,,,0.17,0,0.17,0.17,0.17,,,,,,16/17
Kieran Gibbs,eng ENG,MFDF,Arsenal,26,1989,11,8,702,7.8,0,1,1,0,0,0,3,0,,,,,,,,0,0.13,0.13,0,0.13,,,,,,16/17
Ben Gibson,eng ENG,DF,Middlesbrough,23,1993,38,38,3420,38,1,1,2,1,0,0,4,0,,,,,,,,0.03,0.03,0.05,0.03,0.05,,,,,,16/17
Darron Gibson,ie IRL,MF,Sunderland,28,1987,12,7,640,7.1,0,0,0,0,0,0,4,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Olivier Giroud,fr FRA,FW,Arsenal,29,1986,29,11,1206,13.4,12,3,15,12,0,0,2,0,,,,,,,,0.9,0.22,1.12,0.9,1.12,,,,,,16/17
Shay Given,ie IRL,GK,Stoke City,40,1976,5,5,450,5,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Evandro Goebel,br BRA,MF,Hull City,29,1986,11,7,576,6.4,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Angel Gomes,eng ENG,FWMF,Manchester Utd,15,2000,1,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Heurelho Gomes,br BRA,GK,Watford,35,1981,38,38,3337,37.1,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Lynden Gooch,us USA,MF,Sunderland,20,1995,11,4,366,4.1,0,0,0,0,0,0,3,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Dan Gosling,eng ENG,MF,Bournemouth,26,1990,27,14,1366,15.2,2,0,2,2,0,0,6,0,,,,,,,,0.13,0,0.13,0.13,0.13,,,,,,16/17
Lewis Grabban,eng ENG,FWMF,Bournemouth,28,1988,3,0,60,0.7,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Max Gradel,ci CIV,FWMF,Bournemouth,28,1987,11,0,134,1.5,0,0,0,0,0,0,3,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Lee Grant,eng ENG,GK,Stoke City,33,1983,28,28,2520,28,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Andre Gray,jm JAM,FW,Burnley,25,1991,32,26,2259,25.1,9,3,12,7,2,2,2,0,,,,,,,,0.36,0.12,0.48,0.28,0.4,,,,,,16/17
Demarai Gray,eng ENG,MFFW,Leicester City,20,1996,30,9,1049,11.7,1,3,4,1,0,0,2,0,,,,,,,,0.09,0.26,0.34,0.09,0.34,,,,,,16/17
Kamil Grosicki,pl POL,MF,Hull City,28,1988,15,12,1143,12.7,0,3,3,0,0,0,1,0,,,,,,,,0,0.24,0.24,0,0.24,,,,,,16/17
Marko Grujić,rs SRB,MF,Liverpool,20,1996,5,0,43,0.5,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Adlène Guedioura,dz ALG,MF,Watford,30,1985,12,9,721,8,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Adlène Guedioura,dz ALG,MF,Middlesbrough,30,1985,5,0,140,1.6,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
İlkay Gündoğan,de GER,MF,Manchester City,25,1990,10,9,704,7.8,3,1,4,3,0,0,0,0,,,,,,,,0.38,0.13,0.51,0.38,0.51,,,,,,16/17
Brad Guzan,us USA,GK,Middlesbrough,31,1984,10,10,900,10,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Josh Harrop,eng ENG,FW,Manchester Utd,20,1995,1,1,90,1,1,0,1,1,0,0,0,0,,,,,,,,1,0,1,1,1,,,,,,16/17
Eden Hazard,be BEL,FWMF,Chelsea,25,1991,36,36,2982,33.1,16,5,21,14,2,3,3,0,,,,,,,,0.48,0.15,0.63,0.42,0.57,,,,,,16/17
Tom Heaton,eng ENG,GK,Burnley,30,1986,35,35,3150,35,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Jordan Henderson,eng ENG,MF,Liverpool,26,1990,24,24,2116,23.5,1,4,5,1,0,0,8,0,,,,,,,,0.04,0.17,0.21,0.04,0.21,,,,,,16/17
Jeff Hendrick,ie IRL,MF,Burnley,24,1992,32,31,2692,29.9,2,1,3,2,0,0,6,1,,,,,,,,0.07,0.03,0.1,0.07,0.1,,,,,,16/17
Wayne Hennessey,wls WAL,GK,Crystal Palace,29,1987,29,29,2610,29,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Markus Henriksen,no NOR,MF,Hull City,24,1992,15,6,638,7.1,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Abel Hernández,uy URU,FW,Hull City,25,1990,24,16,1425,15.8,4,3,7,4,0,0,0,0,,,,,,,,0.25,0.19,0.44,0.25,0.44,,,,,,16/17
Luis Hernández,es ESP,DF,Leicester City,27,1989,4,3,327,3.6,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Ander Herrera,es ESP,MF,Manchester Utd,26,1989,31,27,2464,27.4,1,5,6,1,0,0,6,2,,,,,,,,0.04,0.18,0.22,0.04,0.22,,,,,,16/17
Son Heung-min,kr KOR,MFFW,Tottenham,24,1992,34,23,2062,22.9,14,6,20,14,0,0,2,0,,,,,,,,0.61,0.26,0.87,0.61,0.87,,,,,,16/17
Rob Holding,eng ENG,DF,Arsenal,20,1995,9,9,810,9,0,0,0,0,0,0,3,0,,,,,,,,0,0,0,0,0,,,,,,16/17
José Holebas,gr GRE,DFMF,Watford,32,1984,33,33,2905,32.3,2,4,6,2,0,0,14,0,,,,,,,,0.06,0.12,0.19,0.06,0.19,,,,,,16/17
Mason Holgate,eng ENG,DF,Everton,19,1996,18,16,1372,15.2,0,1,1,0,0,0,2,0,,,,,,,,0,0.07,0.07,0,0.07,,,,,,16/17
George Honeyman,eng ENG,MF,Sunderland,21,1994,5,2,235,2.6,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Tom Huddlestone,eng ENG,MF,Hull City,29,1986,31,23,2026,22.5,1,0,1,0,1,1,5,1,,,,,,,,0.04,0,0.04,0,0,,,,,,16/17
James Husband,eng ENG,DF,Middlesbrough,22,1994,1,1,58,0.6,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Robert Huth,de GER,DF,Leicester City,31,1984,33,33,2926,32.5,2,1,3,2,0,0,9,0,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,16/17
Pierre Højbjerg,dk DEN,MF,Southampton,20,1995,22,14,1301,14.5,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Jordon Ibe,eng ENG,MFFW,Bournemouth,20,1995,25,13,1055,11.7,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Didier Ibrahim Ndong,ga GAB,MF,Sunderland,22,1994,31,27,2520,28,1,0,1,1,0,0,5,0,,,,,,,,0.04,0,0.04,0.04,0.04,,,,,,16/17
Zlatan Ibrahimović,se SWE,FW,Manchester Utd,34,1981,28,27,2438,27.1,17,5,22,15,2,3,7,0,,,,,,,,0.63,0.18,0.81,0.55,0.74,,,,,,16/17
Odion Ighalo,ng NGA,FW,Watford,27,1989,18,14,1291,14.3,1,0,1,1,0,0,1,0,,,,,,,,0.07,0,0.07,0.07,0.07,,,,,,16/17
Kelechi Iheanacho,ng NGA,FW,Manchester City,19,1996,20,5,537,6,4,3,7,4,0,0,0,0,,,,,,,,0.67,0.5,1.17,0.67,1.17,,,,,,16/17
Giannelli Imbula,cd COD,MF,Stoke City,23,1992,12,9,796,8.8,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Branislav Ivanović,rs SRB,DF,Chelsea,32,1984,13,6,589,6.5,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Alex Iwobi,ng NGA,MF,Arsenal,20,1996,26,18,1456,16.2,3,4,7,3,0,0,1,0,,,,,,,,0.19,0.25,0.43,0.19,0.43,,,,,,16/17
Phil Jagielka,eng ENG,DF,Everton,33,1982,27,25,2250,25,3,2,5,3,0,0,5,2,,,,,,,,0.12,0.08,0.2,0.12,0.2,,,,,,16/17
Eldin Jakupović,ch SUI,GK,Hull City,31,1984,22,22,1980,22,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Matty James,eng ENG,MF,Leicester City,25,1991,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Daryl Janmaat,nl NED,MFDF,Watford,27,1989,27,18,1617,18,2,1,3,2,0,0,2,0,,,,,,,,0.11,0.06,0.17,0.11,0.17,,,,,,16/17
Vincent Janssen,nl NED,FW,Tottenham,22,1994,27,7,845,9.4,2,2,4,1,1,1,0,0,,,,,,,,0.21,0.21,0.43,0.11,0.32,,,,,,16/17
Adnan Januzaj,be BEL,MFFW,Sunderland,21,1995,25,18,1629,18.1,0,2,2,0,0,0,4,2,,,,,,,,0,0.11,0.11,0,0.11,,,,,,16/17
Mile Jedinak,au AUS,MF,Crystal Palace,31,1984,1,1,90,1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Carl Jenkinson,eng ENG,DF,Arsenal,24,1992,1,1,82,0.9,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Gabriel Jesus,br BRA,FWMF,Manchester City,19,1997,10,8,650,7.2,7,4,11,6,1,1,2,0,,,,,,,,0.97,0.55,1.52,0.83,1.38,,,,,,16/17
Glen Johnson,eng ENG,DF,Stoke City,31,1984,23,21,1957,21.7,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Billy Jones,eng ENG,DFMF,Sunderland,29,1987,27,25,2270,25.2,1,0,1,1,0,0,8,0,,,,,,,,0.04,0,0.04,0.04,0.04,,,,,,16/17
David Jones,eng ENG,MF,Burnley,31,1984,1,1,86,1,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Phil Jones,eng ENG,DF,Manchester Utd,24,1992,18,18,1584,17.6,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Lukas Jutkiewicz,eng ENG,FW,Burnley,27,1989,2,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Christian Kabasele,be BEL,DFMF,Watford,25,1991,16,7,771,8.6,2,0,2,2,0,0,1,0,,,,,,,,0.23,0,0.23,0.23,0.23,,,,,,16/17
Younès Kaboul,fr FRA,DF,Watford,30,1986,22,22,1820,20.2,2,0,2,2,0,0,2,0,,,,,,,,0.1,0,0.1,0.1,0.1,,,,,,16/17
Younès Kaboul,fr FRA,DF,Sunderland,30,1986,1,1,90,1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Sullay Kaikai,sl SLE,FWMF,Crystal Palace,20,1995,1,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Harry Kane,eng ENG,FW,Tottenham,23,1993,30,29,2521,28,29,5,34,24,5,6,3,0,,,,,,,,1.04,0.18,1.21,0.86,1.04,,,,,,16/17
