Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,season
Dale Stephens,eng ENG,MF,Brighton,29,1989,30,29,2485,27.6,1,1,2,1,0,0,6,1,0.3,0.3,0.7,1,16,151,8,0.04,0.04,0.07,0.04,0.07,0.01,0.02,0.04,0.01,0.04,18/19
Jack Stephens,eng ENG,DF,Southampton,24,1994,24,19,1700,18.9,1,0,1,1,0,0,4,0,1,1,0.2,1.2,11,54,6,0.05,0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,18/19
Raheem Sterling,eng ENG,FW,Manchester City,23,1994,34,31,2771,30.8,17,9,26,17,0,0,3,0,13.7,13.7,9.6,23.3,155,87,436,0.55,0.29,0.84,0.55,0.84,0.44,0.31,0.76,0.44,0.76,18/19
John Stones,eng ENG,DF,Manchester City,24,1994,24,20,1764,19.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,44,118,5,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,18/19
Daniel Sturridge,eng ENG,FWMF,Liverpool,28,1989,18,4,509,5.7,2,1,3,2,0,0,1,0,1.2,1.2,0.8,2.1,9,31,37,0.35,0.18,0.53,0.35,0.53,0.22,0.15,0.37,0.22,0.37,18/19
Denis Suárez,es ESP,MFFW,Arsenal,24,1994,4,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,18/19
Isaac Success,ng NGA,FWMF,Watford,22,1996,30,9,1052,11.7,1,1,2,1,0,0,4,0,3.5,3.5,2.8,6.2,35,39,107,0.09,0.09,0.17,0.09,0.17,0.3,0.24,0.53,0.3,0.53,18/19
Ki Sung-yueng,kr KOR,MF,Newcastle Utd,29,1989,18,14,1302,14.5,0,1,1,0,0,0,2,0,0.3,0.3,1,1.2,12,66,12,0,0.07,0.07,0,0.07,0.02,0.07,0.09,0.02,0.09,18/19
Andrew Surman,eng ENG,MF,Bournemouth,31,1986,18,16,1439,16,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,3,89,10,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,18/19
Sam Surridge,eng ENG,MFFW,Bournemouth,20,1998,2,0,13,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0,0,3,0,0,0,0,0,2.4,0.29,2.69,2.4,2.69,18/19
Alexander Sørloth,no NOR,FW,Crystal Palace,22,1995,12,0,185,2.1,0,0,0,0,0,0,0,0,0.5,0.5,0.9,1.4,4,9,13,0,0,0,0,0,0.23,0.44,0.66,0.23,0.66,18/19
Matt Targett,eng ENG,DF,Southampton,22,1995,16,13,1186,13.2,1,3,4,1,0,0,2,0,0.5,0.5,2.3,2.8,24,53,89,0.08,0.23,0.3,0.08,0.3,0.04,0.17,0.21,0.04,0.21,18/19
James Tarkowski,eng ENG,DF,Burnley,25,1992,35,35,3086,34.3,3,1,4,3,0,0,8,0,3.3,3.3,0.3,3.6,4,105,6,0.09,0.03,0.12,0.09,0.12,0.1,0.01,0.11,0.1,0.11,18/19
Charlie Taylor,eng ENG,DF,Burnley,24,1993,38,35,3243,36,0,1,1,0,0,0,2,0,0.2,0.2,1.5,1.7,93,97,94,0,0.03,0.03,0,0.03,0,0.04,0.05,0,0.05,18/19
Youri Tielemans,be BEL,MF,Leicester City,21,1997,13,13,1086,12.1,3,4,7,3,0,0,2,0,1.8,1.8,2.5,4.3,24,85,53,0.25,0.33,0.58,0.25,0.58,0.15,0.21,0.36,0.15,0.36,18/19
James Tomkins,eng ENG,DF,Crystal Palace,29,1989,29,29,2560,28.4,1,1,2,1,0,0,5,0,1.4,1.4,0.9,2.4,4,50,4,0.04,0.04,0.07,0.04,0.07,0.05,0.03,0.08,0.05,0.08,18/19
Lucas Torreira,uy URU,MF,Arsenal,22,1996,34,24,2382,26.5,2,2,4,2,0,0,7,1,1.5,1.5,1.2,2.7,28,140,35,0.08,0.08,0.15,0.08,0.15,0.06,0.04,0.1,0.06,0.1,18/19
Cenk Tosun,tr TUR,FW,Everton,27,1991,25,10,1059,11.8,3,3,6,3,0,0,3,0,5,5,0.9,5.9,11,16,90,0.25,0.25,0.51,0.25,0.51,0.43,0.07,0.5,0.43,0.5,18/19
Andros Townsend,eng ENG,FWMF,Crystal Palace,27,1991,38,34,3009,33.4,6,4,10,6,0,0,1,0,4.6,4.6,3.6,8.3,144,106,280,0.18,0.12,0.3,0.18,0.3,0.14,0.11,0.25,0.14,0.25,18/19
Adama Traoré,es ESP,FWMF,Wolves,22,1996,29,8,902,10,1,1,2,1,0,0,1,0,1.3,1.3,2.2,3.5,82,31,61,0.1,0.1,0.2,0.1,0.2,0.13,0.22,0.35,0.13,0.35,18/19
Mark Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18/19
Kieran Trippier,eng ENG,DF,Tottenham,27,1990,27,26,2276,25.3,1,3,4,1,0,0,2,0,0.5,0.5,4.1,4.6,40,179,200,0.04,0.12,0.16,0.04,0.16,0.02,0.16,0.18,0.02,0.18,18/19
Antonio Valencia,ec ECU,DF,Manchester Utd,32,1985,6,5,466,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.5,18,25,21,0,0,0,0,0,0.01,0.09,0.1,0.01,0.1,18/19
Yan Valery,tn TUN,DF,Southampton,19,1999,23,20,1712,19,2,1,3,2,0,0,4,1,0.7,0.7,0.2,0.9,54,33,77,0.11,0.05,0.16,0.11,0.16,0.04,0.01,0.05,0.04,0.05,18/19
Virgil van Dijk,nl NED,DF,Liverpool,27,1991,38,38,3384,37.6,4,2,6,4,0,0,1,0,3.1,3.1,1.4,4.6,20,174,20,0.11,0.05,0.16,0.11,0.16,0.08,0.04,0.12,0.08,0.12,18/19
Jamie Vardy,eng ENG,FW,Leicester City,31,1987,34,30,2726,30.3,18,4,22,14,4,5,3,1,18.3,14.4,5.1,19.5,45,39,186,0.59,0.13,0.73,0.46,0.59,0.6,0.17,0.77,0.47,0.64,18/19
Jan Vertonghen,be BEL,DF,Tottenham,31,1987,22,22,1911,21.2,1,0,1,1,0,0,4,1,1,1,0.2,1.3,27,121,24,0.05,0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,18/19
Jannik Vestergaard,dk DEN,DF,Southampton,25,1992,23,23,2027,22.5,0,0,0,0,0,0,2,0,0.7,0.7,0.6,1.3,14,62,4,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,18/19
Luciano Vietto,ar ARG,FWMF,Fulham,24,1993,20,10,986,11,1,4,5,1,0,0,1,0,2.9,2.9,2.1,5,33,35,107,0.09,0.37,0.46,0.09,0.46,0.27,0.2,0.46,0.27,0.46,18/19
Rúben Vinagre,pt POR,DFMF,Wolves,19,1999,17,7,710,7.9,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.2,45,22,63,0,0,0,0,0,0.06,0.1,0.16,0.06,0.16,18/19
Sam Vokes,wls WAL,FW,Burnley,28,1989,20,10,915,10.2,3,0,3,3,0,0,0,0,2.4,2.4,1.3,3.6,3,15,55,0.3,0,0.3,0.3,0.3,0.23,0.12,0.36,0.23,0.36,18/19
Michel Vorm,nl NED,GK,Tottenham,34,1983,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/19
Matěj Vydra,cz CZE,FW,Burnley,26,1992,13,3,318,3.5,1,1,2,1,0,0,1,0,1.8,1.8,0.5,2.3,3,3,15,0.28,0.28,0.57,0.28,0.57,0.52,0.13,0.65,0.52,0.65,18/19
Theo Walcott,eng ENG,FWMF,Everton,29,1989,37,24,2119,23.5,5,2,7,5,0,0,1,0,5.7,5.7,2.7,8.4,50,52,167,0.21,0.08,0.3,0.21,0.3,0.24,0.12,0.36,0.24,0.36,18/19
Kyle Walker,eng ENG,DF,Manchester City,28,1990,33,30,2779,30.9,1,1,2,1,0,0,3,0,0.8,0.8,1.9,2.7,83,220,92,0.03,0.03,0.06,0.03,0.06,0.03,0.06,0.09,0.03,0.09,18/19
Kyle Walker-Peters,eng ENG,DF,Tottenham,21,1997,6,4,376,4.2,0,3,3,0,0,0,1,0,0.3,0.3,0.5,0.8,15,13,17,0,0.72,0.72,0,0.72,0.08,0.11,0.19,0.08,0.19,18/19
Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,20,1997,35,35,3134,34.8,0,3,3,0,0,0,4,1,0.5,0.5,2.1,2.6,100,159,119,0,0.09,0.09,0,0.09,0.01,0.06,0.07,0.01,0.07,18/19
Victor Wanyama,ke KEN,MF,Tottenham,27,1991,13,4,516,5.7,1,0,1,1,0,0,2,0,1,1,0.1,1,13,28,6,0.17,0,0.17,0.17,0.17,0.17,0.01,0.18,0.17,0.18,18/19
Danny Ward,eng ENG,FW,Cardiff City,26,1991,14,4,445,4.9,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,7,9,27,0.2,0,0.2,0.2,0.2,0.12,0.07,0.19,0.12,0.19,18/19
Joel Ward,eng ENG,DF,Crystal Palace,28,1989,7,6,552,6.1,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6,18,18,0.16,0,0.16,0.16,0.16,0.09,0.02,0.11,0.09,0.11,18/19
Stephen Ward,ie IRL,DF,Burnley,32,1985,3,3,228,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,8,10,5,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,18/19
James Ward-Prowse,eng ENG,MFDF,Southampton,23,1994,26,21,1945,21.6,7,0,7,6,1,1,4,0,3.4,2.7,3.2,5.9,15,61,86,0.32,0,0.32,0.28,0.28,0.16,0.15,0.31,0.12,0.27,18/19
Danny Welbeck,eng ENG,FWMF,Arsenal,27,1990,8,1,153,1.7,1,1,2,1,0,0,0,0,0.8,0.8,0.3,1.1,6,10,11,0.59,0.59,1.18,0.59,1.18,0.47,0.18,0.65,0.47,0.65,18/19
Ashley Westwood,eng ENG,MF,Burnley,28,1990,34,31,2824,31.4,2,7,9,2,0,0,5,0,1.9,1.9,4.8,6.7,16,175,40,0.06,0.22,0.29,0.06,0.29,0.06,0.15,0.21,0.06,0.21,18/19
Connor Wickham,eng ENG,FWMF,Crystal Palace,25,1993,6,0,67,0.7,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,0,0,1,0,1.34,1.34,0,1.34,0.5,0.43,0.92,0.5,0.92,18/19
Georginio Wijnaldum,nl NED,MF,Liverpool,27,1990,35,32,2725,30.3,3,0,3,3,0,0,3,0,3,3,1.8,4.8,47,168,67,0.1,0,0.1,0.1,0.1,0.1,0.06,0.16,0.1,0.16,18/19
Danny Williams,us USA,MF,Huddersfield,29,1989,5,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0.1,1,3,1,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,18/19
Willian,br BRA,FW,Chelsea,29,1988,32,26,2097,23.3,3,6,9,3,0,0,2,0,4.2,4.2,5.4,9.6,143,141,283,0.13,0.26,0.39,0.13,0.39,0.18,0.23,0.41,0.18,0.41,18/19
Joe Willock,eng ENG,MFFW,Arsenal,18,1999,2,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,7,0,0,0,0,0,0.16,0,0.16,0.16,0.16,18/19
Ben Wilmot,eng ENG,MFDF,Watford,18,1999,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18/19
Jack Wilshere,eng ENG,MF,West Ham,26,1992,8,4,392,4.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,8,20,10,0,0.23,0.23,0,0.23,0.04,0.14,0.17,0.04,0.17,18/19
Callum Wilson,eng ENG,FW,Bournemouth,26,1992,30,29,2528,28.1,14,9,23,13,1,2,3,0,13.4,11.9,5.4,17.2,49,44,197,0.5,0.32,0.82,0.46,0.78,0.48,0.19,0.67,0.42,0.61,18/19
Harry Winks,eng ENG,MF,Tottenham,22,1996,26,17,1597,17.7,1,0,1,1,0,0,4,0,1,1,0.3,1.3,56,124,19,0.06,0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,18/19
Chris Wood,nz NZL,FW,Burnley,26,1991,38,29,2588,28.8,10,2,12,10,0,0,2,0,8.8,8.8,3.8,12.6,13,25,199,0.35,0.07,0.42,0.35,0.42,0.31,0.13,0.44,0.31,0.44,18/19
Granit Xhaka,ch SUI,MFDF,Arsenal,25,1992,29,29,2498,27.8,4,2,6,4,0,0,10,0,2,2,3.4,5.4,37,258,34,0.14,0.07,0.22,0.14,0.22,0.07,0.12,0.2,0.07,0.2,18/19
Andriy Yarmolenko,ua UKR,MFFW,West Ham,28,1989,9,5,459,5.1,2,0,2,2,0,0,2,0,1.1,1.1,0.8,1.8,18,22,28,0.39,0,0.39,0.39,0.39,0.21,0.15,0.36,0.21,0.36,18/19
DeAndre Yedlin,us USA,DF,Newcastle Utd,25,1993,29,28,2473,27.5,1,2,3,1,0,0,6,1,1.2,1.2,2,3.1,38,66,104,0.04,0.07,0.11,0.04,0.11,0.04,0.07,0.11,0.04,0.11,18/19
Maya Yoshida,jp JPN,DF,Southampton,29,1988,17,17,1518,16.9,0,1,1,0,0,0,0,0,1.9,1.9,0.5,2.4,1,34,4,0,0.06,0.06,0,0.06,0.11,0.03,0.14,0.11,0.14,18/19
Ashley Young,eng ENG,DF,Manchester Utd,33,1985,30,28,2569,28.5,2,2,4,2,0,0,9,1,0.5,0.5,3.1,3.6,71,155,124,0.07,0.07,0.14,0.07,0.14,0.02,0.11,0.13,0.02,0.13,18/19
Pablo Zabaleta,ar ARG,DF,West Ham,33,1985,26,23,2092,23.2,0,1,1,0,0,0,4,0,0.2,0.2,1,1.2,31,103,107,0,0.04,0.04,0,0.04,0.01,0.04,0.05,0.01,0.05,18/19
Wilfried Zaha,ci CIV,FW,Crystal Palace,25,1992,34,34,3036,33.7,10,5,15,10,0,0,9,1,5.7,5.7,4.8,10.6,182,141,355,0.3,0.15,0.44,0.3,0.44,0.17,0.14,0.31,0.17,0.31,18/19
Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,22,1995,22,16,1517,16.9,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1,34,112,20,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,18/19
Davide Zappacosta,it ITA,DF,Chelsea,26,1992,4,1,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,3,6,0,0,0,0,0,0.06,0.09,0.15,0.06,0.15,18/19
Oleksandr Zinchenko,ua UKR,DF,Manchester City,21,1996,14,14,1151,12.8,0,3,3,0,0,0,1,0,0.2,0.2,1.5,1.7,47,95,94,0,0.23,0.23,0,0.23,0.01,0.12,0.13,0.01,0.13,18/19
Kenneth Zohore,dk DEN,FW,Cardiff City,24,1994,19,7,753,8.4,1,1,2,1,0,0,1,0,1.7,1.7,1.1,2.8,10,5,57,0.12,0.12,0.24,0.12,0.24,0.2,0.13,0.33,0.2,0.33,18/19
Kurt Zouma,fr FRA,DF,Everton,23,1994,32,29,2612,29,2,2,4,2,0,0,4,1,1.5,1.5,0.4,1.8,23,105,4,0.07,0.07,0.14,0.07,0.14,0.05,0.01,0.06,0.05,0.06,18/19
Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29,29,2507,27.9,3,2,5,2,1,1,0,0,2.1,1.3,3.7,5.1,60,143,89,0.11,0.07,0.18,0.07,0.14,0.08,0.13,0.21,0.05,0.18,19/20
Max Aarons,eng ENG,DF,Norwich City,19,2000,36,36,3240,36,0,1,1,0,0,0,7,0,0.6,0.6,3.9,4.5,92,78,151,0,0.03,0.03,0,0.03,0.02,0.11,0.12,0.02,0.12,19/20
Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34,25,2215,24.6,15,3,18,15,0,0,2,0,16.4,16.4,2.7,19,31,34,134,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77,19/20
Che Adams,sct SCO,FW,Southampton,23,1996,30,12,1111,12.3,4,2,6,4,0,0,0,0,5.3,5.3,1.7,7,20,16,87,0.32,0.16,0.49,0.32,0.49,0.43,0.14,0.57,0.43,0.57,19/20
Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/20
Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24,18,1452,16.1,16,3,19,14,2,3,1,0,14.5,12.1,2.3,14.4,35,34,105,0.99,0.19,1.18,0.87,1.05,0.9,0.14,1.04,0.75,0.89,19/20
Albian Ajeti,ch SUI,FW,West Ham,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,0,10,0,0,0,0,0,0.11,0.05,0.16,0.11,0.16,19/20
Nathan Aké,nl NED,DF,Bournemouth,24,1995,29,29,2503,27.8,2,2,4,2,0,0,2,0,3,3,2.2,5.1,12,81,7,0.07,0.07,0.14,0.07,0.14,0.11,0.08,0.18,0.11,0.18,19/20
Marc Albrighton,eng ENG,MFDF,Leicester City,29,1989,20,9,867,9.6,0,3,3,0,0,0,2,0,0.4,0.4,2.2,2.6,20,45,94,0,0.31,0.31,0,0.31,0.04,0.22,0.27,0.04,0.27,19/20
Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33,33,2957,32.9,2,2,4,2,0,0,7,0,0.7,0.7,1.3,2.1,11,96,10,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.06,0.02,0.06,19/20
Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,38,35,3175,35.3,4,13,17,4,0,0,5,0,2.8,2.8,10.9,13.7,98,247,226,0.11,0.37,0.48,0.11,0.48,0.08,0.31,0.39,0.08,0.39,19/20
Alisson,br BRA,GK,Liverpool,26,1992,29,29,2543,28.3,0,1,1,0,0,0,0,1,0,0,0.3,0.3,0,1,0,0,0.04,0.04,0,0.04,0,0.01,0.01,0,0.01,19/20
Dele Alli,eng ENG,MFFW,Tottenham,23,1996,25,21,1847,20.5,8,4,12,7,1,1,2,0,8.1,7.3,3.5,10.8,56,69,152,0.39,0.19,0.58,0.34,0.54,0.4,0.17,0.56,0.36,0.53,19/20
Miguel Almirón,py PAR,MFFW,Newcastle Utd,25,1994,36,35,3021,33.6,4,2,6,4,0,0,5,0,6.7,6.7,3,9.7,120,77,160,0.12,0.06,0.18,0.12,0.18,0.2,0.09,0.29,0.2,0.29,19/20
Marcos Alonso,es ESP,DF,Chelsea,28,1990,18,15,1430,15.9,4,2,6,4,0,0,4,0,2.6,2.6,2.6,5.2,62,69,155,0.25,0.13,0.38,0.25,0.38,0.16,0.17,0.33,0.16,0.33,19/20
Steven Alzate,co COL,MFDF,Brighton,20,1998,19,12,1188,13.2,0,0,0,0,0,0,1,0,1.2,1.2,0.7,2,34,66,92,0,0,0,0,0,0.09,0.06,0.15,0.09,0.15,19/20
Ibrahim Amadou,fr FRA,DFMF,Norwich City,26,1993,11,8,759,8.4,0,0,0,0,0,0,1,0,0.8,0.8,0,0.8,4,13,1,0,0,0,0,0,0.09,0,0.1,0.09,0.1,19/20
Felipe Anderson,br BRA,MFFW,West Ham,26,1993,25,20,1497,16.6,1,4,5,1,0,0,1,0,2.5,2.5,3.1,5.6,106,100,132,0.06,0.24,0.3,0.06,0.3,0.15,0.18,0.34,0.15,0.34,19/20
Florin Andone,ro ROU,FW,Brighton,26,1993,3,1,73,0.8,1,0,1,1,0,0,0,1,0.4,0.4,0.1,0.4,2,0,4,1.23,0,1.23,1.23,1.23,0.45,0.06,0.51,0.45,0.51,19/20
Angeliño,es ESP,DF,Manchester City,22,1997,6,4,423,4.7,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,21,41,70,0,0,0,0,0,0.05,0.32,0.36,0.05,0.36,19/20
Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.11,0,0.11,0.11,0.11,19/20
Michail Antonio,jm JAM,FW,West Ham,29,1990,24,19,1768,19.6,10,3,13,9,1,1,3,0,12.9,12.1,3.7,15.9,53,39,178,0.51,0.15,0.66,0.46,0.61,0.66,0.19,0.85,0.62,0.81,19/20
Stuart Armstrong,sct SCO,MF,Southampton,27,1992,30,19,1715,19.1,5,3,8,5,0,0,4,0,2.8,2.8,2,4.8,45,71,101,0.26,0.16,0.42,0.26,0.42,0.15,0.1,0.25,0.15,0.25,19/20
Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/20
Christian Atsu,gh GHA,MFFW,Newcastle Utd,27,1992,19,6,749,8.3,0,3,3,0,0,0,2,0,0.2,0.2,1.3,1.5,29,16,22,0,0.36,0.36,0,0.36,0.03,0.15,0.18,0.03,0.18,19/20
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,36,35,3136,34.8,22,3,25,20,2,2,3,1,14.7,13.2,3.3,16.5,98,81,288,0.63,0.09,0.72,0.57,0.66,0.42,0.09,0.52,0.38,0.47,19/20
Serge Aurier,ci CIV,DF,Tottenham,26,1992,33,31,2700,30,1,5,6,1,0,0,4,1,0.5,0.5,3.4,3.9,66,93,205,0.03,0.17,0.2,0.03,0.2,0.02,0.11,0.13,0.02,0.13,19/20
Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,37,37,3148,35,9,2,11,9,0,0,6,0,7.5,7.5,2.5,10,77,60,184,0.26,0.06,0.31,0.26,0.31,0.21,0.07,0.29,0.21,0.29,19/20
César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,3229,35.9,2,6,8,2,0,0,1,0,2.4,2.4,6,8.5,59,193,226,0.06,0.17,0.22,0.06,0.22,0.07,0.17,0.24,0.07,0.24,19/20
Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,19/20
Leighton Baines,eng ENG,DF,Everton,34,1984,8,4,404,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,12,10,18,0,0,0,0,0,0.01,0.18,0.2,0.01,0.2,19/20
Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,13,1177,13.1,1,0,1,1,0,0,2,0,1.5,1.5,0.5,2,8,35,2,0.08,0,0.08,0.08,0.08,0.12,0.03,0.15,0.12,0.15,19/20
George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38,38,3420,38,2,3,5,2,0,0,7,0,0.6,0.6,1.7,2.4,97,103,197,0.05,0.08,0.13,0.05,0.13,0.02,0.05,0.06,0.02,0.06,19/20
Phil Bardsley,sct SCO,DF,Burnley,34,1985,21,21,1890,21,0,1,1,0,0,0,6,0,0.3,0.3,1.4,1.7,23,70,27,0,0.05,0.05,0,0.05,0.02,0.07,0.08,0.02,0.08,19/20
Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,13,1103,12.3,1,4,5,1,0,0,0,0,2.7,2.7,2.3,5.1,46,64,63,0.08,0.33,0.41,0.08,0.41,0.22,0.19,0.41,0.22,0.41,19/20
Ashley Barnes,eng ENG,FW,Burnley,29,1989,19,17,1352,15,6,0,6,5,1,1,4,0,6.2,5.4,0.3,5.7,10,18,61,0.4,0,0.4,0.33,0.33,0.41,0.02,0.43,0.36,0.38,19/20
Harvey Barnes,eng ENG,MFFW,Leicester City,21,1997,36,24,2083,23.1,6,8,14,6,0,0,0,0,8.1,8.1,4.1,12.2,95,90,221,0.26,0.35,0.6,0.26,0.6,0.35,0.18,0.53,0.35,0.53,19/20
Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,3242,36,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,32,82,70,0,0.03,0.03,0,0.03,0.01,0.04,0.04,0.01,0.04,19/20
Borja Bastón,es ESP,MFFW,Aston Villa,26,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19/20
Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,2.7,1,1,2,1,0,0,0,0,2.4,2.4,0.2,2.6,8,1,22,0.38,0.38,0.75,0.38,0.75,0.92,0.06,0.98,0.92,0.98,19/20
Jan Bednarek,pl POL,DF,Southampton,23,1996,34,34,3057,34,1,1,2,1,0,0,4,0,1.1,1.1,1.1,2.2,4,90,0,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.07,0.03,0.07,19/20
Héctor Bellerín,es ESP,DFMF,Arsenal,24,1995,15,13,1158,12.9,1,0,1,1,0,0,2,0,0.4,0.4,0.4,0.8,34,58,70,0.08,0,0.08,0.08,0.08,0.03,0.03,0.06,0.03,0.06,19/20
Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,6.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,17,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,19/20
Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0,0,0,0,0,0,0,0,19/20
Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,8.3,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,2,19,1,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,19/20
Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,1261,14,2,1,3,2,0,0,4,1,5.1,5.1,2.6,7.7,22,28,79,0.14,0.07,0.21,0.14,0.21,0.36,0.19,0.55,0.36,0.55,19/20
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,6,621,6.9,1,1,2,1,0,0,0,0,0.6,0.6,1,1.6,18,6,31,0.14,0.14,0.29,0.14,0.29,0.09,0.14,0.23,0.09,0.23,19/20
Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,10.5,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.3,18,52,35,0.1,0.1,0.19,0.1,0.19,0.06,0.06,0.12,0.06,0.12,19/20
Steven Bergwijn,nl NED,FWMF,Tottenham,21,1997,14,8,704,7.8,3,1,4,3,0,0,2,0,1,1,0.9,1.9,24,12,50,0.38,0.13,0.51,0.38,0.51,0.13,0.11,0.25,0.13,0.25,19/20
Bernard,br BRA,MFFW,Everton,26,1992,27,15,1280,14.2,3,2,5,3,0,0,2,0,1.8,1.8,2.4,4.1,40,76,106,0.21,0.14,0.35,0.21,0.35,0.13,0.17,0.29,0.13,0.29,19/20
Bernardo,br BRA,DFMF,Brighton,24,1995,14,7,679,7.5,0,0,0,0,0,0,1,0,0.5,0.5,1.1,1.6,22,56,41,0,0,0,0,0,0.06,0.15,0.21,0.06,0.21,19/20
Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,31,2742,30.5,1,1,2,1,0,0,3,1,1.7,1.7,3.3,5.1,78,130,134,0.03,0.03,0.07,0.03,0.07,0.06,0.11,0.17,0.06,0.17,19/20
Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,3,11,0,0,0,0,0,0,0.06,0.03,0.08,0.06,0.08,19/20
