Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_pk,season
Artur Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,12,18,1.5,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0,18/19
David Button,eng ENG,GK,Brighton,29,1989,4,4,360,4,5,1.25,18,13,83.3,1,1,2,1,25,2,2,0,0,0,18/19
Willy Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2,0,0,3,3,100,1,1,0,2,100,0,0,0,0,,18/19
Petr Čech,cz CZE,GK,Arsenal,36,1982,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,,18/19
Joel Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,18/19
Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,3420,38,48,1.26,140,93,70,12,9,17,11,28.9,6,6,0,0,0,18/19
Ederson,br BRA,GK,Manchester City,24,1993,38,38,3420,38,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0,18/19
Neil Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,3420,38,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9,18/19
Łukasz Fabiański,pl POL,GK,West Ham,33,1985,38,38,3420,38,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20,18/19
Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,2,5,2.5,21,16,76.2,0,0,2,0,0,0,0,0,0,,18/19
Fraser Forster,eng ENG,GK,Southampton,30,1988,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,18/19
Ben Foster,eng ENG,GK,Watford,35,1983,38,38,3420,38,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20,18/19
Paulo Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,3,270,3,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,,18/19
David de Gea,es ESP,GK,Manchester Utd,27,1990,38,38,3420,38,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0,18/19
Vicente Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,1755,19.5,23,1.18,85,63,74.1,10,4,6,7,35,1,1,0,0,0,18/19
Angus Gunn,sct SCO,GK,Southampton,22,1996,12,12,1080,12,18,1.5,50,31,64,4,4,4,3,25,1,0,1,0,100,18/19
Ben Hamer,eng ENG,GK,Huddersfield,30,1987,7,7,553,6.1,21,3.42,42,22,57.1,0,1,6,0,0,3,3,0,0,0,18/19
Joe Hart,eng ENG,GK,Burnley,31,1987,19,19,1710,19,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50,18/19
Tom Heaton,eng ENG,GK,Burnley,32,1986,19,19,1710,19,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0,18/19
Wayne Hennessey,wls WAL,GK,Crystal Palace,31,1987,18,17,1575,17.5,26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,0,25,18/19
