"","season","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","reg_season","after_covid","is_VAR"
"41",2016,"2017-02-04",1975,"Mexican Primera Division Torneo Clausura","León","Tijuana",43.49,44.27,0.4318,0.2907,0.2775,1.46,1.2,NA,NA,2,4,1.15,2.24,0.8,0.66,2.1,4.01,0,0,0
"42",2016,"2017-02-04",1975,"Mexican Primera Division Torneo Clausura","Necaxa","Monterrey",39.48,45.86,0.3769,0.3415,0.2816,1.39,1.32,NA,NA,1,1,1.19,1.75,0.83,1.58,1.05,1.05,0,0,0
"43",2016,"2017-02-05",1975,"Mexican Primera Division Torneo Clausura","Pumas Unam","Pachuca",43.04,46.48,0.4099,0.3212,0.2689,1.54,1.39,NA,NA,1,1,1.1,1.17,1.03,0.57,1.05,1.05,0,0,0
"44",2016,"2017-02-05",1975,"Mexican Primera Division Torneo Clausura","Guadalajara","Santos Laguna",40.44,39.51,0.4483,0.2683,0.2834,1.45,1.07,NA,NA,1,1,2.47,1.14,1.8,0.87,1.05,1.05,0,0,0
"45",2016,"2017-02-07",1975,"Mexican Primera Division Torneo Clausura","Chiapas FC","Club América",32.39,46.61,0.262,0.4621,0.2759,1.2,1.5,NA,NA,2,0,0.7,1.08,0.94,1.96,1.58,0,0,0,0
"46",2016,"2017-02-10",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Necaxa",46.13,38.97,0.5096,0.2142,0.2763,1.51,0.92,NA,NA,1,2,0.98,0.95,1.46,0.36,1.05,1.7,0,0,0
"47",2016,"2017-02-11",1975,"Mexican Primera Division Torneo Clausura","Querétaro","León",36.32,41.97,0.3677,0.3459,0.2864,1.36,1.26,NA,NA,2,1,0.74,1.36,1.19,1.47,2.1,1.05,0,0,0
"48",2016,"2017-02-11",1975,"Mexican Primera Division Torneo Clausura","Monterrey","Pumas Unam",46.34,42.86,0.4742,0.2669,0.2589,1.75,1.28,NA,NA,2,0,2.1,0.47,1.48,0.62,1.8,0,0,0,0
"49",2016,"2017-02-11",1975,"Mexican Primera Division Torneo Clausura","Atlas","Guadalajara",38.58,40.67,0.4194,0.2944,0.2861,1.37,1.16,NA,NA,1,2,0.18,2.27,0.57,0.4,1.05,2.1,0,0,0
"50",2016,"2017-02-11",1975,"Mexican Primera Division Torneo Clausura","Pachuca","Tigres UANL",46.49,44.3,0.4586,0.2625,0.2788,1.47,1.08,NA,NA,1,0,1.55,0.34,0.89,0.51,1.05,0,0,0,0
"51",2016,"2017-02-11",1975,"Mexican Primera Division Torneo Clausura","Club América","Puebla",45.66,34.94,0.5423,0.2119,0.2458,1.95,1.11,NA,NA,0,0,2.2,1.1,1.65,1.11,0,0,0,0,0
"52",2016,"2017-02-12",1975,"Mexican Primera Division Torneo Clausura","Toluca","Veracruz",42.92,35.67,0.5134,0.2241,0.2626,1.71,1.04,NA,NA,1,0,2.2,0.33,0.78,0.63,1.05,0,0,0,0
"53",2016,"2017-02-12",1975,"Mexican Primera Division Torneo Clausura","Chiapas FC","Morelia",33.17,36.52,0.3865,0.326,0.2876,1.41,1.23,NA,NA,1,2,2.37,1.39,1.83,0.95,1.05,2.1,0,0,0
"54",2016,"2017-02-12",1975,"Mexican Primera Division Torneo Clausura","Santos Laguna","Cruz Azul",39.3,42.07,0.4116,0.3079,0.2805,1.42,1.23,NA,NA,2,2,1.44,1.31,1.65,1.12,2.1,2.1,0,0,0
"55",2016,"2017-02-17",1975,"Mexican Primera Division Torneo Clausura","Veracruz","Tigres UANL",35.07,43.5,0.3436,0.3678,0.2886,1.24,1.32,NA,NA,0,3,0.4,3.1,0.56,0.86,0,2.63,0,0,0
