first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,season,now_cost,element_type
Joseph,Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Connor,Randall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,16/17,NA,NA
Bradley,Smith,0,0,4,269,9,30.3,28.6,27,0,35,8.6,0,0,1,2.5,16/17,NA,NA
Kevin,Stewart,0,0,4,20,0,0.4,3.6,0,0,12,0.4,0,0,0,0.1,16/17,NA,NA
Joel,Matip,1,0,97,2457,25,143.3,588.6,348,7,557,108,9,0,3,3.2,16/17,NA,NA
Leiva,Lucas,0,3,47,1112,17,102.9,306.4,99,2,240,51.1,4,0,4,0.2,16/17,NA,NA
Jordan,Henderson,1,4,73,2116,28,554.3,507.4,93,9,467,115.5,7,0,8,1,16/17,NA,NA
Joe,Allen,6,3,118,2930,49,539.8,576.8,675,10,525,179.4,10,0,9,6.4,16/17,NA,NA
Philippe,Coutinho,13,8,171,2228,27,1081.8,860,1125,21,631,306.5,8,0,2,26,16/17,NA,NA
Emre,Can,5,2,104,2371,28,544.5,512.2,500,12,436,155.3,9,0,6,3,16/17,NA,NA
Adam,Lallana,8,7,139,2338,32,693,679.4,825,14,543,219.5,9,0,3,9.1,16/17,NA,NA
Lazar,Markovic,2,0,37,1005,15,160.3,142.2,185,2,125,48.5,5,0,4,0.1,16/17,NA,NA
Oluwaseyi,Ojo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
James,Milner,7,4,139,3154,35,937,919,493,16,682,235.2,12,0,5,4.8,16/17,NA,NA
Roberto,Firmino,11,11,180,3062,39,1127.3,869.6,1569,17,639,356.9,11,0,5,8.8,16/17,NA,NA
Cameron,Brannagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Pedro,Chirivella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Sadio,Mané,13,7,156,2242,26,660.7,727,1074,14,502,246,8,0,4,7.8,16/17,NA,NA
Christian,Benteke,15,2,136,3131,58,484.4,640.2,1762,13,382,286.1,7,0,10,9.5,16/17,NA,NA
Daniel,Sturridge,3,5,54,775,7,207.4,202.8,492,2,180,89.7,3,0,1,1.9,16/17,NA,NA
Mario,Balotelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,16/17,NA,NA
Danny,Ings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,16/17,NA,NA
Divock,Origi,7,4,96,1469,18,264.4,360,551,8,297,116.1,7,0,0,5.5,16/17,NA,NA
Joe,Hart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16/17,NA,NA
Willy,Caballero,0,0,64,1452,13,0,266.6,0,1,295,26.8,6,0,0,3.8,16/17,NA,NA
Aleksandar,Kolarov,1,1,95,2535,27,296.4,639,223,7,558,116,9,0,6,3.1,16/17,NA,NA
Pablo,Zabaleta,1,1,45,1065,18,167.7,238.6,113,5,230,52.1,2,0,2,1.2,16/17,NA,NA
Vincent,Kompany,3,0,57,820,6,32.9,249,123,6,227,40.6,5,0,5,3.2,16/17,NA,NA
Gael,Clichy,1,0,87,2123,24,314.8,407.4,38,9,493,76.1,8,0,2,1.9,16/17,NA,NA
Bacary,Sagna,0,1,55,1346,14,152.1,223.2,53,3,316,42.8,6,0,2,1.7,16/17,NA,NA
Eliaquim,Mangala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,16/17,NA,NA
Nicolás,Otamendi,1,2,100,2592,28,125.6,772.4,276,10,640,117.6,9,0,9,3.2,16/17,NA,NA
Fabian,Delph,1,0,13,224,4,42.3,68.2,43,0,62,15.3,0,0,1,0.1,16/17,NA,NA
Raheem,Sterling,7,14,149,2509,27,688.3,527,1170,11,468,237.7,9,0,7,10.6,16/17,NA,NA
Samir,Nasri,0,0,1,16,0,12.3,4.8,41,0,0,5.8,0,0,0,0.2,16/17,NA,NA
David,Silva,4,9,130,2760,32,1388.4,671.2,801,12,621,286.2,12,0,6,2.8,16/17,NA,NA
Gnegneri Yaya,Touré,5,0,86,1941,17,407.7,474.2,335,6,422,121.8,12,0,4,1,16/17,NA,NA
Jesús,Navas,0,3,48,1064,17,359.9,161,163,6,245,68.3,2,0,2,0.6,16/17,NA,NA
Fernando,Luiz Rosa,2,1,78,2755,27,575.7,546.6,364,3,483,148.5,10,2,4,1.5,16/17,NA,NA
Fernando Francisco,Reges,0,0,18,568,10,65.7,115.2,29,1,106,21,1,0,3,0.2,16/17,NA,NA
Kevin,De Bruyne,6,21,199,2877,34,1702,872.4,790,33,825,336.6,11,0,4,10.4,16/17,NA,NA
Ilkay,Gundogan,3,1,41,704,8,209.6,186.8,199,2,196,59.6,3,0,0,1.3,16/17,NA,NA
Manuel,Agudo Durán,4,3,54,777,7,238.4,210,411,2,170,85.6,3,1,3,1,16/17,NA,NA
Oleksandr,Zinchenko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Sergio,Aguero,20,5,175,2404,30,518.2,871.8,1853,32,640,323.9,8,1,4,17.6,16/17,NA,NA
Wilfried,Bony,2,0,29,684,12,116.9,103,271,3,92,49,3,0,1,0.6,16/17,NA,NA
Kelechi,Iheanacho,4,3,52,537,9,193.7,224,463,6,180,87.4,1,0,0,2.3,16/17,NA,NA
David,de Gea,0,0,136,3150,29,10,542.4,0,5,575,55,14,0,2,33.2,16/17,NA,NA
Sergio,Romero,0,0,23,180,0,0,77.2,0,3,80,7.7,2,0,0,0.2,16/17,NA,NA
Chris,Smalling,1,1,52,1217,16,36.1,342.6,95,1,282,47.4,4,0,0,1.1,16/17,NA,NA
Phil,Jones,0,0,55,1584,14,35.2,437.8,89,4,362,56.3,5,0,2,0.7,16/17,NA,NA
Guillermo,Varela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Luke,Shaw,0,3,45,688,6,160.5,139.2,64,4,202,36.5,4,0,1,6.4,16/17,NA,NA
Marcos,Rojo,1,0,77,1663,13,71,446.4,147,7,394,66.5,8,0,5,0.7,16/17,NA,NA
Patrick,McNair,0,0,12,353,9,51.1,30.6,28,0,58,10.7,1,0,0,0.2,16/17,NA,NA
