player,nation,pos,team_name,age,born,match_ply,starts,min,mp_90,goals_scored,assists,goals_assists,goals_pen_kicks,pen_kicks,pen_kicks_att,yellow_cards,red_cards,xg,npxg,xag,npxg_xag,prog_carries,prog_passes,prog_rec,goals_90,assists_90,goals_assists_90,goals_pen_kicks_90,goals_assists_pen_kicks_90,xg_90,xag_90,xg_xag_90,npxg_90,npxg_xag_90,season,gk_goals_against,gk_goals_against_90,gk_shots_target_against,gk_saves,gk_saves_perc,gk_clean_sheets,gk_clean_sheets_perc,gk_pen_kicks_att,gk_pen_kicks_allowed,gk_pen_kicks_saved,gk_pen_kicks_missed,gk_pen_kicks_saved_perc
Michy Batshuayi,BEL,FW,Chelsea,22,1993,20,1,254,2.8,5,1,6,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.77,0.35,2.13,1.77,2.13,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asmir Begović,BIH,GK,Chelsea,29,1987,2,2,180,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,5,2.5,6,1,16.7,0,0,0,0,0,0,NA
Valon Behrami,SUI,MF,Watford,31,1985,27,26,2030,22.6,0,2,2,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,0,0.09,0.09,0,0.09,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Héctor Bellerín,ESP,DF,Arsenal,21,1995,33,27,2503,27.8,1,4,5,1,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,0.04,0.14,0.18,0.04,0.18,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yohan Benalouane,TUN,DF,Leicester City,29,1987,11,11,917,10.2,0,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Benteke,BEL,FW,Crystal Palace,25,1990,36,36,3131,34.8,15,2,17,13,2,4,10,0,NA,NA,NA,NA,NA,NA,NA,0.43,0.06,0.49,0.37,0.43,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Benteke,BEL,FW,Crystal Palace,21,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saido Berahino,BDI,FW,Stoke City,22,1993,13,8,720,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saido Berahino,BDI,FW,West Brom,22,1993,4,3,243,2.7,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jóhann Berg Guðmundsson,ISL,MF,Burnley,25,1990,20,10,998,11.1,1,2,3,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.09,0.18,0.27,0.09,0.27,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Bertrand,ENG,DF,Southampton,26,1989,28,28,2507,27.9,2,3,5,2,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.07,0.11,0.18,0.07,0.18,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mame Biram Diouf,SEN,MF,Stoke City,28,1987,27,15,1385,15.4,1,2,3,1,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.13,0.19,0.06,0.19,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daley Blind,NED,DF,Manchester United,26,1990,23,20,1830,20.3,1,2,3,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0.05,0.1,0.15,0.05,0.15,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yannick Bolasie,COD,FW,Crystal Palace,27,1989,1,0,25,0.3,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yannick Bolasie,COD,MF,Everton,27,1989,13,12,1023,11.4,1,4,5,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0.09,0.35,0.44,0.09,0.44,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
