player,nation,pos,team_name,age,born,match_ply,starts,min,mp_90,goals_scored,assists,goals_assists,goals_pen_kicks,pen_kicks,pen_kicks_att,yellow_cards,red_cards,xg,npxg,xag,npxg_xag,prog_carries,prog_passes,prog_rec,goals_90,assists_90,goals_assists_90,goals_pen_kicks_90,goals_assists_pen_kicks_90,xg_90,xag_90,xg_xag_90,npxg_90,npxg_xag_90,season,gk_goals_against,gk_goals_against_90,gk_shots_target_against,gk_saves,gk_saves_perc,gk_clean_sheets,gk_clean_sheets_perc,gk_pen_kicks_att,gk_pen_kicks_allowed,gk_pen_kicks_saved,gk_pen_kicks_missed,gk_pen_kicks_saved_perc
Maxime Le Marchand,FRA,DF,Fulham,28,1989,26,25,2250,25,0,1,1,0,0,0,5,0,0.3,0.3,0.7,1,16,77,15,0,0.04,0.04,0,0.04,0.01,0.03,0.04,0.01,0.04,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florian Lejeune,FRA,DF,Newcastle United,27,1991,12,12,1054,11.7,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,9,33,8,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mario Lemina,GAB,MF,Southampton,24,1993,21,18,1613,17.9,1,1,2,1,0,0,5,0,1.1,1.1,1.1,2.2,41,92,29,0.06,0.06,0.11,0.06,0.11,0.06,0.06,0.12,0.06,0.12,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Lennon,ENG,MF,Burnley,31,1987,16,14,1215,13.5,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,21,18,55,0.07,0.07,0.15,0.07,0.15,0.06,0.05,0.11,0.06,0.11,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernd Leno,GER,GK,Arsenal,26,1992,32,31,2836,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18/19,42,1.33,145,104,75.9,7,22.6,7,7,0,0,0
Jefferson Lerma,COL,MF,AFC Bournemouth,23,1994,30,29,2506,27.8,2,0,2,2,0,0,12,0,1.3,1.3,1.1,2.3,17,133,17,0.07,0,0.07,0.07,0.07,0.05,0.04,0.08,0.05,0.08,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stephan Lichtsteiner,SUI,DF,Arsenal,34,1984,14,10,938,10.4,0,0,0,0,0,0,3,0,0,0,0.1,0.1,24,32,48,0,0,0,0,0,0,0.01,0.01,0,0.01,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Victor Lindelöf,SWE,DF,Manchester United,24,1994,30,29,2601,28.9,1,1,2,1,0,0,1,0,0.7,0.7,1.2,1.9,14,83,2,0.03,0.03,0.07,0.03,0.07,0.02,0.04,0.06,0.02,0.06,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jesse Lingard,ENG,FW,Manchester United,25,1992,27,19,1663,18.5,4,2,6,3,1,1,3,0,4.7,3.9,2.7,6.6,41,55,109,0.22,0.11,0.32,0.16,0.27,0.25,0.15,0.4,0.21,0.36,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fernando Llorente,ESP,FW,Tottenham Hotspur,33,1985,20,6,694,7.7,1,4,5,1,0,0,2,0,3.4,3.4,1.6,5,3,10,72,0.13,0.52,0.65,0.13,0.65,0.44,0.21,0.64,0.44,0.64,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hugo Lloris,FRA,GK,Tottenham Hotspur,31,1986,33,33,2970,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/19,33,1,130,98,76.9,12,36.4,5,3,2,0,40
Jürgen Locadia,NED,FW,Brighton & Hove Albion,24,1993,26,12,1236,13.7,2,0,2,2,0,0,1,0,2.7,2.7,1,3.7,17,15,104,0.15,0,0.15,0.15,0.15,0.2,0.07,0.27,0.2,0.27,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruben Loftus-Cheek,ENG,MF,Chelsea,22,1996,24,6,998,11.1,6,2,8,6,0,0,0,0,2.8,2.8,0.8,3.7,52,61,75,0.54,0.18,0.72,0.54,0.72,0.26,0.07,0.33,0.26,0.33,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Long,IRL,DF,Burnley,27,1990,6,5,514,5.7,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,1,10,0,0,0.18,0.18,0,0.18,0.01,0.08,0.09,0.01,0.09,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shane Long,IRL,FW,Southampton,31,1987,26,12,1272,14.1,5,1,6,5,0,0,3,0,4.6,4.6,1.6,6.2,13,18,98,0.35,0.07,0.42,0.35,0.42,0.33,0.11,0.44,0.33,0.44,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Longstaff,ENG,MF,Newcastle United,20,1997,9,8,687,7.6,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,2,28,6,0.13,0,0.13,0.13,0.13,0.09,0.07,0.16,0.09,0.16,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ademola Lookman,NGA,FW,Everton,20,1997,21,3,618,6.9,0,2,2,0,0,0,0,0,1.4,1.4,1.4,2.8,34,24,52,0,0.29,0.29,0,0.29,0.2,0.21,0.41,0.2,0.41,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonas Lössl,DEN,GK,Huddersfield Town,29,1989,31,30,2778,30.9,0,1,1,0,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0.03,0.03,0,0.03,0,0.02,0.02,0,0.02,18/19,54,1.75,141,86,64.5,5,16.7,5,4,1,0,20
Dejan Lovren,CRO,DF,Liverpool,29,1989,13,11,986,11,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,2,27,2,0.09,0,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Löwe,GER,DF,Huddersfield Town,29,1989,29,23,2057,22.9,0,2,2,0,0,0,2,0,0.6,0.6,1.7,2.4,46,64,86,0,0.09,0.09,0,0.09,0.03,0.08,0.1,0.03,0.1,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Lowton,ENG,DF,Burnley,29,1989,21,19,1750,19.4,0,0,0,0,0,0,7,0,0.6,0.6,0.7,1.3,18,74,38,0,0,0,0,0,0.03,0.03,0.07,0.03,0.07,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Luiz,BRA,DF,Chelsea,31,1987,36,36,3238,36,3,2,5,3,0,0,3,0,2.6,2.6,2.9,5.5,54,247,4,0.08,0.06,0.14,0.08,0.14,0.07,0.08,0.15,0.07,0.15,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romelu Lukaku,BEL,FW,Manchester United,25,1993,32,22,2136,23.7,12,0,12,12,0,0,4,0,10.5,10.5,2.2,12.7,44,55,200,0.51,0,0.51,0.51,0.51,0.44,0.09,0.54,0.44,0.54,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Maddison,ENG,MF,Leicester City,21,1996,36,35,2831,31.5,7,7,14,6,1,2,4,1,7.4,5.9,8.2,14,63,198,148,0.22,0.22,0.45,0.19,0.41,0.24,0.26,0.5,0.19,0.45,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Madine,ENG,FW,Cardiff City,27,1990,5,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harry Maguire,ENG,DF,Leicester City,25,1993,31,31,2596,28.8,3,0,3,3,0,0,6,1,2.4,2.4,0.8,3.2,53,190,23,0.1,0,0.1,0.1,0.1,0.08,0.03,0.11,0.08,0.11,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riyad Mahrez,ALG,FW,Manchester City,27,1991,27,14,1343,14.9,7,4,11,7,0,1,0,0,5.5,4.7,4.6,9.3,87,73,191,0.47,0.27,0.74,0.47,0.74,0.37,0.31,0.68,0.32,0.62,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ainsley Maitland-Niles,ENG,DF,Arsenal,20,1997,16,11,987,11,1,1,2,1,0,0,2,1,0.9,0.9,0.9,1.8,32,60,66,0.09,0.09,0.18,0.09,0.18,0.08,0.08,0.17,0.08,0.17,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sadio Mané,SEN,FW,Liverpool,26,1992,36,35,3077,34.2,22,1,23,22,0,0,2,0,15.1,15.1,4.5,19.7,121,129,285,0.64,0.03,0.67,0.64,0.67,0.44,0.13,0.58,0.44,0.58,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javier Manquillo,ESP,DF,Newcastle United,24,1994,18,12,1101,12.2,0,3,3,0,0,0,2,0,0.1,0.1,0.7,0.7,26,29,39,0,0.25,0.25,0,0.25,0,0.05,0.06,0,0.06,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solly March,ENG,FW,Brighton & Hove Albion,24,1994,35,30,2463,27.4,1,5,6,1,0,0,1,0,2.5,2.5,4.3,6.8,65,60,208,0.04,0.18,0.22,0.04,0.22,0.09,0.16,0.25,0.09,0.25,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian Mariappa,JAM,DF,Watford,31,1986,26,20,1927,21.4,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,3,41,0,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lazar Marković,SRB,MF,Fulham,24,1994,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,0.05,0.05,0,0.05,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Martial,FRA,FW,Manchester United,22,1995,27,18,1621,18,10,2,12,9,1,1,2,0,6.2,5.4,2.9,8.2,109,66,205,0.56,0.11,0.67,0.5,0.61,0.34,0.16,0.5,0.3,0.46,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Masina,MAR,DF,Watford,24,1994,14,11,1004,11.2,0,1,1,0,0,0,5,0,0.1,0.1,0.8,0.9,10,39,13,0,0.09,0.09,0,0.09,0.01,0.07,0.08,0.01,0.08,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthur Masuaku,COD,DF,West Ham,24,1993,23,19,1759,19.5,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,69,96,53,0,0.05,0.05,0,0.05,0.01,0.04,0.05,0.01,0.05,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juan Mata,ESP,FW,Manchester United,30,1988,22,16,1289,14.3,3,2,5,3,0,0,3,0,1.6,1.6,2.9,4.5,24,75,96,0.21,0.14,0.35,0.21,0.35,0.11,0.2,0.31,0.11,0.31,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nemanja Matić,SRB,MF,Manchester United,29,1988,28,28,2436,27.1,1,0,1,1,0,0,7,1,1.3,1.3,0.5,1.8,42,165,13,0.04,0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joël Matip,CMR,DF,Liverpool,26,1991,22,17,1537,17.1,1,0,1,1,0,0,3,0,0.7,0.7,0.2,0.9,27,66,2,0.06,0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Konstantinos Mavropanos,GRE,DF,Arsenal,20,1997,4,3,148,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3,9,0,0,0,0,0,0,0.07,0.17,0.25,0.07,0.25,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfie Mawson,ENG,DF,Fulham,24,1994,15,13,1131,12.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,26,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Mbenza,BEL,FW,Huddersfield Town,22,1996,22,10,986,11,1,1,2,1,0,0,1,0,1,1,0.9,1.9,25,18,57,0.09,0.09,0.18,0.09,0.18,0.09,0.09,0.17,0.09,0.17,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James McArthur,SCO,MF,Crystal Palace,30,1987,38,36,3058,34,3,6,9,3,0,0,7,0,4.1,4.1,3.3,7.4,42,142,137,0.09,0.18,0.26,0.09,0.26,0.12,0.1,0.22,0.12,0.22,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex McCarthy,ENG,GK,Southampton,28,1989,25,25,2250,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/19,44,1.76,119,78,64.7,4,16,2,2,0,0,0
James McCarthy,IRL,MF,Everton,27,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin McDonald,SCO,MF,Fulham,29,1988,15,10,841,9.3,0,0,0,0,0,0,5,1,0.1,0.1,0.1,0.2,2,41,2,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwight McNeil,ENG,MF,Burnley,18,1999,21,19,1591,17.7,3,5,8,3,0,0,2,0,2,2,3.4,5.4,75,41,56,0.17,0.28,0.45,0.17,0.45,0.11,0.19,0.3,0.11,0.3,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott McTominay,SCO,MF,Manchester United,21,1996,16,9,867,9.6,2,0,2,2,0,0,1,0,1.5,1.5,0,1.5,8,34,12,0.21,0,0.21,0.21,0.21,0.15,0,0.16,0.15,0.16,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Mee,ENG,DF,Burnley,28,1989,38,38,3420,38,0,2,2,0,0,0,9,0,1.6,1.6,1.1,2.7,9,99,9,0,0.05,0.05,0,0.05,0.04,0.03,0.07,0.04,0.07,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nathaniel Mendez-Laing,ENG,MF,Cardiff City,26,1992,20,11,985,10.9,4,1,5,3,1,1,0,0,2.3,1.5,1.5,2.9,46,19,69,0.37,0.09,0.46,0.27,0.37,0.21,0.13,0.34,0.13,0.27,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benjamin Mendy,FRA,DF,Manchester City,24,1994,10,10,900,10,0,5,5,0,0,0,1,0,0.2,0.2,1.6,1.8,48,70,59,0,0.5,0.5,0,0.5,0.02,0.16,0.18,0.02,0.18,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nampalys Mendy,SEN,MF,Leicester City,26,1992,31,23,2092,23.2,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,16,104,19,0,0,0,0,0,0,0.01,0.01,0,0.01,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Mepham,WAL,DF,AFC Bournemouth,20,1997,13,10,850,9.4,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,7,22,1,0,0.11,0.11,0,0.11,0.01,0.05,0.06,0.01,0.06,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max Meyer,GER,MF,Crystal Palace,22,1995,29,15,1416,15.7,1,2,3,1,0,0,3,0,1.8,1.8,1.2,2.9,47,73,80,0.06,0.13,0.19,0.06,0.19,0.11,0.07,0.18,0.11,0.18,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luka Milivojević,SRB,MF,Crystal Palace,27,1991,38,38,3420,38,12,2,14,2,10,11,10,0,10.9,2.2,3,5.2,32,219,15,0.32,0.05,0.37,0.05,0.11,0.29,0.08,0.37,0.06,0.14,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Milner,ENG,MF,Liverpool,32,1986,31,19,1789,19.9,5,4,9,2,3,3,6,1,3.4,1.1,5.3,6.4,38,164,139,0.25,0.2,0.45,0.1,0.3,0.17,0.27,0.44,0.05,0.32,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yerry Mina,COL,DF,Everton,23,1994,13,10,892,9.9,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,7,39,3,0.1,0,0.1,0.1,0.1,0.03,0.01,0.05,0.03,0.05,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Mings,ENG,DF,AFC Bournemouth,25,1993,5,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,6,1,0,0,0,0,0,0,0.04,0.04,0,0.04,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleksandar Mitrović,SRB,FW,Fulham,23,1994,37,37,3280,36.4,11,3,14,10,1,1,7,0,14.1,13.3,3.2,16.5,28,62,244,0.3,0.08,0.38,0.27,0.36,0.39,0.09,0.47,0.36,0.45,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Henrikh Mkhitaryan,ARM,FW,Arsenal,29,1989,25,19,1641,18.2,6,4,10,6,0,0,1,0,5,5,6.2,11.2,68,107,144,0.33,0.22,0.55,0.33,0.55,0.28,0.34,0.62,0.28,0.62,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nacho Monreal,ESP,DF,Arsenal,32,1986,22,21,1861,20.7,1,3,4,1,0,0,5,0,1.3,1.3,1.7,3.1,32,87,95,0.05,0.15,0.19,0.05,0.19,0.06,0.08,0.15,0.06,0.15,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martín Montoya,ESP,DF,Brighton & Hove Albion,27,1991,25,24,2167,24.1,0,1,1,0,0,0,4,0,0.2,0.2,1.2,1.4,35,88,36,0,0.04,0.04,0,0.04,0.01,0.05,0.06,0.01,0.06,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Mooy,AUS,MF,Huddersfield Town,27,1990,29,25,2330,25.9,3,1,4,2,1,1,4,0,2.8,2.1,2.6,4.6,61,154,94,0.12,0.04,0.15,0.08,0.12,0.11,0.1,0.21,0.08,0.18,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álvaro Morata,ESP,FW,Chelsea,25,1992,16,11,941,10.5,5,0,5,5,0,0,3,0,6.1,6.1,0.2,6.4,12,13,82,0.48,0,0.48,0.48,0.48,0.59,0.02,0.61,0.59,0.61,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alberto Moreno,ESP,DF,Liverpool,26,1992,2,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.2,3,12,10,0,0,0,0,0,0.02,0.09,0.1,0.02,0.1,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wes Morgan,JAM,DF,Leicester City,34,1984,22,21,1925,21.4,3,0,3,3,0,0,3,2,1.8,1.8,0.2,2,6,43,9,0.14,0,0.14,0.14,0.14,0.08,0.01,0.09,0.08,0.09,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Morrison,ENG,DF,Cardiff City,27,1991,34,34,3039,33.8,1,3,4,1,0,0,6,0,5,5,3.7,8.7,7,49,16,0.03,0.09,0.12,0.03,0.12,0.15,0.11,0.26,0.15,0.26,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Victor Moses,NGA,FW,Chelsea,27,1990,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Mounié,BEN,FW,Huddersfield Town,23,1994,31,19,1778,19.8,2,3,5,2,0,0,1,1,5.8,5.8,1.9,7.7,22,34,94,0.1,0.15,0.25,0.1,0.25,0.3,0.09,0.39,0.3,0.39,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas Moura,BRA,FW,Tottenham Hotspur,25,1992,32,25,2121,23.6,10,0,10,10,0,0,3,0,6.3,6.3,1.5,7.8,79,63,193,0.42,0,0.42,0.42,0.42,0.27,0.06,0.33,0.27,0.33,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lys Mousset,FRA,FW,AFC Bournemouth,22,1996,24,1,368,4.1,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.6,5,12,41,0.24,0,0.24,0.24,0.24,0.34,0.06,0.4,0.34,0.4,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
João Moutinho,POR,MF,Wolves,31,1986,38,35,3032,33.7,1,8,9,1,0,0,4,0,0.7,0.7,6.5,7.2,34,220,48,0.03,0.24,0.27,0.03,0.27,0.02,0.19,0.21,0.02,0.21,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacob Murphy,ENG,MF,Newcastle United,23,1995,9,3,302,3.4,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,8,7,17,0,0.3,0.3,0,0.3,0.02,0.18,0.2,0.02,0.2,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Murphy,ENG,MF,Cardiff City,23,1995,29,22,1817,20.2,3,2,5,3,0,0,2,0,4.1,4.1,3.9,8,81,23,126,0.15,0.1,0.25,0.15,0.25,0.2,0.19,0.4,0.2,0.4,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glenn Murray,ENG,FW,Brighton & Hove Albion,34,1983,38,30,2508,27.9,13,1,14,9,4,4,5,0,11.4,8.1,1.3,9.4,12,41,136,0.47,0.04,0.5,0.32,0.36,0.41,0.05,0.46,0.29,0.34,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shkodran Mustafi,GER,DF,Arsenal,26,1992,31,31,2611,29,2,0,2,2,0,0,9,0,1.5,1.5,0.6,2.1,26,118,12,0.07,0,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yoshinori Mutō,JPN,FW,Newcastle United,26,1992,17,5,524,5.8,1,0,1,1,0,0,1,0,0.9,0.9,0.8,1.7,9,6,28,0.17,0,0.17,0.17,0.17,0.16,0.14,0.3,0.16,0.3,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georges-Kévin N'Koudou,CMR,FW,Tottenham Hotspur,23,1995,1,0,5,0.1,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,3,0,18,18,0,18,0,9.73,9.73,0,9.73,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samir Nasri,FRA,MF,West Ham,31,1987,5,3,245,2.7,0,2,2,0,0,0,0,0,0.1,0.1,0.3,0.5,9,17,10,0,0.73,0.73,0,0.73,0.05,0.13,0.17,0.05,0.17,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Navarro,ESP,DF,Watford,23,1995,2,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilfred Ndidi,NGA,MF,Leicester City,21,1996,38,37,3296,36.6,2,0,2,2,0,0,8,0,3.7,3.7,1.8,5.5,26,201,35,0.05,0,0.05,0.05,0.05,0.1,0.05,0.15,0.1,0.15,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rúben Neves,POR,MF,Wolves,21,1997,35,34,3007,33.4,4,3,7,2,2,2,8,0,4,2.4,1.9,4.3,15,206,12,0.12,0.09,0.21,0.06,0.15,0.12,0.06,0.18,0.07,0.13,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oumar Niasse,SEN,FW,Cardiff City,28,1990,13,12,931,10.3,0,0,0,0,0,0,0,0,3.4,3.4,0.6,4,23,16,64,0,0,0,0,0,0.33,0.05,0.39,0.33,0.39,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oumar Niasse,SEN,FW,Everton,28,1990,5,0,63,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,1,3,10,0,0,0,0,0,0.71,0.34,1.05,0.71,1.05,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddie Nketiah,ENG,MF,Arsenal,19,1999,5,0,67,0.7,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,3,1,7,1.34,0,1.34,1.34,1.34,0.27,0.18,0.45,0.27,0.45,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Noble,ENG,MF,West Ham,31,1987,31,29,2291,25.5,5,5,10,1,4,4,6,1,3.7,0.5,1.9,2.4,23,197,47,0.2,0.2,0.39,0.04,0.24,0.14,0.07,0.22,0.02,0.09,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Håvard Nordtveit,NOR,DF,Fulham,28,1990,5,4,362,4,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,5,0,0,0.25,0.25,0,0.25,0,0.04,0.04,0,0.04,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Norris,ENG,GK,Wolves,24,1993,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/19,0,NA,0,0,NA,1,NA,0,0,0,0,NA
Michael Obafemi,IRL,FW,Southampton,18,2000,6,1,137,1.5,1,1,2,1,0,0,1,0,1.7,1.7,0.4,2.1,5,2,12,0.66,0.66,1.31,0.66,1.31,1.12,0.23,1.35,1.12,1.35,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedro Obiang,EQG,MF,West Ham,26,1992,24,12,1128,12.5,0,1,1,0,0,0,0,0,0.6,0.6,1,1.6,11,65,22,0,0.08,0.08,0,0.08,0.05,0.08,0.13,0.05,0.13,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denis Odoi,GHA,DF,Fulham,30,1988,31,29,2594,28.8,0,1,1,0,0,0,4,0,0.6,0.6,0.7,1.3,36,101,16,0,0.03,0.03,0,0.03,0.02,0.02,0.04,0.02,0.04,18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
